"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009534","chloroplast thylakoid","163/3933","446/26913",0.365470852017937,2.50086881270245,13.2226271531928,0.000000000000000000000000000000517717318344278,0.000000000000000000000000000159421758710957,0.000000000000000000000000000126453519657416,"AT1G03600/AT1G05385/AT1G06680/AT1G08550/AT1G12410/AT1G14150/AT1G16880/AT1G20810/AT1G21500/AT1G29395/AT1G29670/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G34000/AT1G42960/AT1G50250/AT1G50450/AT1G51400/AT1G55670/AT1G61520/AT1G64510/AT1G65260/AT1G67700/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G77490/AT1G79040/AT2G01110/AT2G01918/AT2G05620/AT2G18710/AT2G20260/AT2G21960/AT2G22230/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G29180/AT2G30440/AT2G30570/AT2G33800/AT2G34420/AT2G34430/AT2G37220/AT2G39470/AT2G45180/AT2G46820/AT2G47940/AT3G01480/AT3G01500/AT3G03920/AT3G05410/AT3G08940/AT3G14440/AT3G15360/AT3G16140/AT3G20660/AT3G25860/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G45980/AT3G46780/AT3G47070/AT3G47470/AT3G51510/AT3G52230/AT3G54890/AT3G56650/AT3G56690/AT3G56940/AT3G58010/AT3G61470/AT3G63140/AT3G63490/AT4G01050/AT4G03520/AT4G05180/AT4G10340/AT4G12800/AT4G13010/AT4G13200/AT4G14870/AT4G18160/AT4G18370/AT4G19830/AT4G20130/AT4G23890/AT4G24770/AT4G25080/AT4G28025/AT4G28750/AT4G32260/AT4G32770/AT4G33010/AT4G35250/AT4G37200/AT4G37930/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G03880/AT5G08540/AT5G10160/AT5G14740/AT5G14910/AT5G16620/AT5G19940/AT5G21430/AT5G22640/AT5G23040/AT5G23120/AT5G23140/AT5G23890/AT5G24490/AT5G42080/AT5G44660/AT5G45680/AT5G46110/AT5G46390/AT5G48220/AT5G50920/AT5G51545/AT5G52440/AT5G53490/AT5G54270/AT5G64040/AT5G66570/ATCG00020/ATCG00065/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00670/ATCG00680/ATCG00690/ATCG00710/ATCG00720/ATCG00730/ATCG00780",163
"GO:0031976","plastid thylakoid","164/3933","452/26913",0.36283185840708,2.48281052766584,13.1526026476938,0.000000000000000000000000000000903239426124403,0.000000000000000000000000000159421758710957,0.000000000000000000000000000126453519657416,"AT1G03600/AT1G05385/AT1G06680/AT1G08550/AT1G12410/AT1G14150/AT1G16880/AT1G20810/AT1G21500/AT1G29395/AT1G29670/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G34000/AT1G42960/AT1G50250/AT1G50450/AT1G51400/AT1G55670/AT1G61520/AT1G64510/AT1G65260/AT1G67700/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G77490/AT1G79040/AT2G01110/AT2G01918/AT2G05620/AT2G18710/AT2G20260/AT2G21960/AT2G22230/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G29180/AT2G30440/AT2G30570/AT2G33800/AT2G34420/AT2G34430/AT2G37220/AT2G39470/AT2G45180/AT2G46820/AT2G47940/AT3G01480/AT3G01500/AT3G03920/AT3G05410/AT3G08940/AT3G14440/AT3G15360/AT3G16140/AT3G20660/AT3G25860/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G45980/AT3G46780/AT3G47070/AT3G47470/AT3G51510/AT3G52230/AT3G54890/AT3G56650/AT3G56690/AT3G56940/AT3G58010/AT3G61470/AT3G63140/AT3G63490/AT4G01050/AT4G03520/AT4G05180/AT4G10340/AT4G12800/AT4G13010/AT4G13200/AT4G14870/AT4G18160/AT4G18370/AT4G19830/AT4G20130/AT4G23890/AT4G24770/AT4G25080/AT4G28025/AT4G28750/AT4G32260/AT4G32770/AT4G33010/AT4G35250/AT4G37200/AT4G37930/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G03880/AT5G08540/AT5G10160/AT5G14740/AT5G14910/AT5G16620/AT5G19940/AT5G21430/AT5G22640/AT5G23040/AT5G23120/AT5G23140/AT5G23890/AT5G24490/AT5G35100/AT5G42080/AT5G44660/AT5G45680/AT5G46110/AT5G46390/AT5G48220/AT5G50920/AT5G51545/AT5G52440/AT5G53490/AT5G54270/AT5G64040/AT5G66570/ATCG00020/ATCG00065/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00670/ATCG00680/ATCG00690/ATCG00710/ATCG00720/ATCG00730/ATCG00780",164
"GO:0034357","photosynthetic membrane","146/3933","393/26913",0.371501272264631,2.5421341826743,12.7406512280163,0.0000000000000000000000000000918676235020137,0.0000000000000000000000000108097570320703,0.00000000000000000000000000857431152685461,"AT1G03600/AT1G05385/AT1G06680/AT1G08550/AT1G14150/AT1G16720/AT1G16880/AT1G27510/AT1G29395/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G34000/AT1G42960/AT1G50250/AT1G51400/AT1G55670/AT1G56180/AT1G61520/AT1G64510/AT1G65260/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G77490/AT1G79040/AT2G01110/AT2G01918/AT2G05620/AT2G18710/AT2G20260/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G29180/AT2G30440/AT2G30570/AT2G33800/AT2G34420/AT2G34430/AT2G37220/AT2G39470/AT2G41430/AT2G45180/AT2G46820/AT2G47940/AT3G01480/AT3G01500/AT3G03920/AT3G05410/AT3G08940/AT3G14440/AT3G15360/AT3G16140/AT3G20660/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G51510/AT3G52230/AT3G54890/AT3G56650/AT3G56690/AT3G56940/AT3G58010/AT3G61470/AT3G63490/AT4G01050/AT4G03520/AT4G05180/AT4G10340/AT4G12800/AT4G13010/AT4G13200/AT4G14870/AT4G23890/AT4G24770/AT4G25080/AT4G28025/AT4G28750/AT4G31560/AT4G32260/AT4G33630/AT4G35250/AT4G37200/AT4G38160/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G03880/AT5G08540/AT5G14740/AT5G14910/AT5G16620/AT5G21430/AT5G22640/AT5G23040/AT5G23120/AT5G23140/AT5G23890/AT5G42080/AT5G42310/AT5G44660/AT5G50920/AT5G52440/AT5G53490/AT5G54270/AT5G64040/AT5G66570/ATCG00020/ATCG00070/ATCG00080/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00520/ATCG00540/ATCG00550/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00670/ATCG00680/ATCG00690/ATCG00710/ATCG00720/ATCG00730",146
"GO:0042651","thylakoid membrane","142/3933","388/26913",0.365979381443299,2.50434861245449,12.3479995331932,0.00000000000000000000000000305963683220626,0.000000000000000000000000270012950442203,0.000000000000000000000000214174578254438,"AT1G03600/AT1G06680/AT1G08550/AT1G14150/AT1G16720/AT1G16880/AT1G27510/AT1G29395/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G34000/AT1G42960/AT1G50250/AT1G51400/AT1G55670/AT1G56180/AT1G61520/AT1G64510/AT1G65260/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G77490/AT1G79040/AT2G01110/AT2G01918/AT2G05620/AT2G18710/AT2G20260/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G29180/AT2G30440/AT2G30570/AT2G33800/AT2G34420/AT2G34430/AT2G37220/AT2G39470/AT2G41430/AT2G45180/AT2G46820/AT2G47940/AT3G01480/AT3G01500/AT3G03920/AT3G05410/AT3G08940/AT3G14440/AT3G15360/AT3G16140/AT3G20660/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G51510/AT3G52230/AT3G54890/AT3G56650/AT3G56690/AT3G56940/AT3G58010/AT3G61470/AT3G63490/AT4G01050/AT4G03520/AT4G05180/AT4G10340/AT4G12800/AT4G13010/AT4G13200/AT4G14870/AT4G23890/AT4G24770/AT4G25080/AT4G28025/AT4G28750/AT4G31560/AT4G32260/AT4G33630/AT4G35250/AT4G37200/AT4G38160/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G03880/AT5G08540/AT5G14740/AT5G14910/AT5G16620/AT5G21430/AT5G22640/AT5G23040/AT5G23120/AT5G23140/AT5G23890/AT5G42080/AT5G42310/AT5G44660/AT5G50920/AT5G52440/AT5G53490/AT5G54270/AT5G64040/AT5G66570/ATCG00020/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00670/ATCG00680/ATCG00690/ATCG00710/ATCG00720/ATCG00730",142
"GO:0009535","chloroplast thylakoid membrane","129/3933","352/26913",0.366477272727273,2.50775561680882,11.7798571491455,0.000000000000000000000000629806754648526,0.0000000000000000000000444643568781859,0.0000000000000000000000352691782603175,"AT1G03600/AT1G06680/AT1G08550/AT1G14150/AT1G16880/AT1G29395/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G34000/AT1G42960/AT1G50250/AT1G51400/AT1G55670/AT1G61520/AT1G64510/AT1G65260/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G77490/AT1G79040/AT2G01110/AT2G05620/AT2G18710/AT2G20260/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G29180/AT2G30440/AT2G30570/AT2G33800/AT2G34420/AT2G34430/AT2G37220/AT2G39470/AT2G45180/AT2G46820/AT2G47940/AT3G01480/AT3G01500/AT3G03920/AT3G08940/AT3G14440/AT3G15360/AT3G16140/AT3G20660/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G51510/AT3G52230/AT3G54890/AT3G56690/AT3G56940/AT3G58010/AT3G61470/AT3G63490/AT4G01050/AT4G03520/AT4G05180/AT4G10340/AT4G12800/AT4G13010/AT4G13200/AT4G14870/AT4G23890/AT4G24770/AT4G25080/AT4G28025/AT4G28750/AT4G32260/AT4G37200/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G03880/AT5G08540/AT5G14740/AT5G14910/AT5G16620/AT5G21430/AT5G22640/AT5G23120/AT5G23140/AT5G23890/AT5G42080/AT5G44660/AT5G50920/AT5G52440/AT5G53490/AT5G54270/AT5G64040/AT5G66570/ATCG00020/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00670/ATCG00680/ATCG00690/ATCG00710/ATCG00720/ATCG00730",129
"GO:0055035","plastid thylakoid membrane","130/3933","360/26913",0.361111111111111,2.47103568098991,11.6245890221361,0.00000000000000000000000199454040504066,0.000000000000000000000117345460496559,0.000000000000000000000093078552235231,"AT1G03600/AT1G06680/AT1G08550/AT1G14150/AT1G16880/AT1G29395/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G34000/AT1G42960/AT1G50250/AT1G51400/AT1G55670/AT1G61520/AT1G64510/AT1G65260/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G77490/AT1G79040/AT2G01110/AT2G05620/AT2G18710/AT2G20260/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G29180/AT2G30440/AT2G30570/AT2G33800/AT2G34420/AT2G34430/AT2G37220/AT2G39470/AT2G45180/AT2G46820/AT2G47940/AT3G01480/AT3G01500/AT3G03920/AT3G08940/AT3G14440/AT3G15360/AT3G16140/AT3G20660/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G51510/AT3G52230/AT3G54890/AT3G56690/AT3G56940/AT3G58010/AT3G61470/AT3G63490/AT4G01050/AT4G03520/AT4G05180/AT4G10340/AT4G12800/AT4G13010/AT4G13200/AT4G14870/AT4G23890/AT4G24770/AT4G25080/AT4G28025/AT4G28750/AT4G32260/AT4G37200/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G03880/AT5G08540/AT5G14740/AT5G14910/AT5G16620/AT5G21430/AT5G22640/AT5G23040/AT5G23120/AT5G23140/AT5G23890/AT5G42080/AT5G44660/AT5G50920/AT5G52440/AT5G53490/AT5G54270/AT5G64040/AT5G66570/ATCG00020/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00670/ATCG00680/ATCG00690/ATCG00710/ATCG00720/ATCG00730",130
"GO:0019867","outer membrane","155/3933","472/26913",0.328389830508475,2.24712827573724,11.3084513833764,0.00000000000000000000000691458111834165,0.000000000000000000000305105891846826,0.000000000000000000000242010339141958,"AT1G02280/AT1G02890/AT1G03600/AT1G04280/AT1G05270/AT1G06530/AT1G06680/AT1G08550/AT1G14150/AT1G16880/AT1G19400/AT1G29395/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G34000/AT1G42960/AT1G50250/AT1G50460/AT1G51400/AT1G55670/AT1G61520/AT1G64220/AT1G64510/AT1G65260/AT1G70480/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G76405/AT1G77490/AT1G79040/AT2G01110/AT2G05620/AT2G16640/AT2G17390/AT2G18710/AT2G20260/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G28900/AT2G29180/AT2G30440/AT2G30570/AT2G32340/AT2G33800/AT2G34420/AT2G34430/AT2G37220/AT2G37410/AT2G39470/AT2G45180/AT2G46820/AT2G47940/AT3G01480/AT3G01500/AT3G03920/AT3G08940/AT3G14440/AT3G15360/AT3G16140/AT3G20660/AT3G25690/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G51510/AT3G52230/AT3G54890/AT3G56690/AT3G56940/AT3G58010/AT3G61470/AT3G63490/AT4G01050/AT4G02480/AT4G02510/AT4G03520/AT4G05180/AT4G10340/AT4G12800/AT4G13010/AT4G13200/AT4G14870/AT4G23890/AT4G24770/AT4G25080/AT4G28025/AT4G28750/AT4G32260/AT4G35450/AT4G36650/AT4G37200/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G03880/AT5G08540/AT5G12390/AT5G14740/AT5G14910/AT5G16620/AT5G21430/AT5G22640/AT5G23120/AT5G23140/AT5G23890/AT5G35210/AT5G42080/AT5G44660/AT5G50920/AT5G51020/AT5G51720/AT5G52440/AT5G53490/AT5G54270/AT5G57490/AT5G64040/AT5G66570/AT5G67500/ATCG00020/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00670/ATCG00680/ATCG00690/ATCG00710/ATCG00720/ATCG00730",155
"GO:0031968","organelle outer membrane","155/3933","472/26913",0.328389830508475,2.24712827573724,11.3084513833764,0.00000000000000000000000691458111834165,0.000000000000000000000305105891846826,0.000000000000000000000242010339141958,"AT1G02280/AT1G02890/AT1G03600/AT1G04280/AT1G05270/AT1G06530/AT1G06680/AT1G08550/AT1G14150/AT1G16880/AT1G19400/AT1G29395/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G34000/AT1G42960/AT1G50250/AT1G50460/AT1G51400/AT1G55670/AT1G61520/AT1G64220/AT1G64510/AT1G65260/AT1G70480/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G76405/AT1G77490/AT1G79040/AT2G01110/AT2G05620/AT2G16640/AT2G17390/AT2G18710/AT2G20260/AT2G25080/AT2G26340/AT2G26500/AT2G27290/AT2G28900/AT2G29180/AT2G30440/AT2G30570/AT2G32340/AT2G33800/AT2G34420/AT2G34430/AT2G37220/AT2G37410/AT2G39470/AT2G45180/AT2G46820/AT2G47940/AT3G01480/AT3G01500/AT3G03920/AT3G08940/AT3G14440/AT3G15360/AT3G16140/AT3G20660/AT3G25690/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G51510/AT3G52230/AT3G54890/AT3G56690/AT3G56940/AT3G58010/AT3G61470/AT3G63490/AT4G01050/AT4G02480/AT4G02510/AT4G03520/AT4G05180/AT4G10340/AT4G12800/AT4G13010/AT4G13200/AT4G14870/AT4G23890/AT4G24770/AT4G25080/AT4G28025/AT4G28750/AT4G32260/AT4G35450/AT4G36650/AT4G37200/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G03880/AT5G08540/AT5G12390/AT5G14740/AT5G14910/AT5G16620/AT5G21430/AT5G22640/AT5G23120/AT5G23140/AT5G23890/AT5G35210/AT5G42080/AT5G44660/AT5G50920/AT5G51020/AT5G51720/AT5G52440/AT5G53490/AT5G54270/AT5G57490/AT5G64040/AT5G66570/AT5G67500/ATCG00020/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00670/ATCG00680/ATCG00690/ATCG00710/ATCG00720/ATCG00730",155
"GO:0042170","plastid membrane","156/3933","493/26913",0.316430020283976,2.16528887259157,10.8031548311759,0.000000000000000000000342145384155273,0.0000000000000000000134197022896457,0.0000000000000000000106445230626085,"AT1G02280/AT1G03600/AT1G06680/AT1G08550/AT1G14150/AT1G16720/AT1G16880/AT1G19400/AT1G25290/AT1G29395/AT1G29930/AT1G30380/AT1G31330/AT1G32060/AT1G34000/AT1G42960/AT1G50250/AT1G51400/AT1G55670/AT1G61520/AT1G64510/AT1G65260/AT1G70480/AT1G70760/AT1G71500/AT1G72640/AT1G73885/AT1G74470/AT1G74880/AT1G75690/AT1G76405/AT1G77490/AT1G78560/AT1G79040/AT2G01110/AT2G05620/AT2G16640/AT2G17390/AT2G18710/AT2G20260/AT2G25080/AT2G25660/AT2G26240/AT2G26340/AT2G26500/AT2G27290/AT2G28900/AT2G29180/AT2G30440/AT2G30570/AT2G33800/AT2G34420/AT2G34430/AT2G37220/AT2G39470/AT2G45180/AT2G46820/AT2G47940/AT3G01480/AT3G01500/AT3G03920/AT3G08940/AT3G09860/AT3G11170/AT3G14440/AT3G15360/AT3G16140/AT3G20660/AT3G25690/AT3G26070/AT3G26580/AT3G26650/AT3G26740/AT3G27850/AT3G46780/AT3G47070/AT3G47470/AT3G51510/AT3G52230/AT3G54890/AT3G56690/AT3G56940/AT3G58010/AT3G61470/AT3G63490/AT4G01050/AT4G02510/AT4G03520/AT4G05180/AT4G10340/AT4G12800/AT4G13010/AT4G13200/AT4G14870/AT4G23890/AT4G24770/AT4G25080/AT4G28025/AT4G28750/AT4G30580/AT4G31040/AT4G31780/AT4G32260/AT4G32770/AT4G35450/AT4G36650/AT4G37200/AT4G38490/AT4G39710/AT5G01530/AT5G01600/AT5G02160/AT5G03880/AT5G08540/AT5G14740/AT5G14910/AT5G16620/AT5G21430/AT5G22640/AT5G23040/AT5G23120/AT5G23140/AT5G23890/AT5G24690/AT5G35210/AT5G42080/AT5G44660/AT5G50920/AT5G51020/AT5G52440/AT5G53490/AT5G54270/AT5G64040/AT5G66570/ATCG00020/ATCG00070/ATCG00120/ATCG00130/ATCG00140/ATCG00150/ATCG00270/ATCG00280/ATCG00300/ATCG00470/ATCG00480/ATCG00540/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00670/ATCG00680/ATCG00690/ATCG00710/ATCG00720/ATCG00730",156
"GO:0009521","photosystem","37/3933","63/26913",0.587301587301587,4.01882726139019,9.92421903725474,0.000000000000000741184046163707,0.0000000000000261637968295788,0.0000000000000207531532925838,"AT1G03600/AT1G05385/AT1G06680/AT1G08550/AT1G14150/AT1G31330/AT1G55670/AT1G79040/AT2G01918/AT2G20260/AT2G39470/AT2G46820/AT3G05410/AT3G16140/AT3G56650/AT3G61470/AT4G05180/AT4G10340/AT4G12800/AT4G28750/AT5G64040/AT5G66570/ATCG00020/ATCG00070/ATCG00080/ATCG00270/ATCG00280/ATCG00300/ATCG00520/ATCG00550/ATCG00560/ATCG00570/ATCG00580/ATCG00630/ATCG00680/ATCG00690/ATCG00710",37
