"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016168","chlorophyll binding","16/3916","28/26761",0.571428571428571,3.9050051072523,6.36752826804368,0.000000224080853383435,0.000170973691131561,0.000162753461931127,"AT1G29930/AT1G61520/AT1G76570/AT2G34420/AT2G34430/AT3G08940/AT3G47470/AT3G54890/AT3G61470/AT4G10340/AT5G01530/ATCG00020/ATCG00080/ATCG00280/ATCG00680/ATCG00690",16
"GO:0019787","ubiquitin-like protein transferase activity","112/3916","498/26761",0.224899598393574,1.53690964060532,5.00740272764631,0.00000152368136916668,0.000522166501061503,0.000497061303348882,"AT1G02610/AT1G02860/AT1G04790/AT1G05890/AT1G14400/AT1G24330/AT1G24440/AT1G26800/AT1G45976/AT1G47056/AT1G49210/AT1G49780/AT1G53025/AT1G53190/AT1G54210/AT1G55530/AT1G61620/AT1G63170/AT1G63800/AT1G64230/AT1G66040/AT1G66050/AT1G67530/AT1G71980/AT1G72175/AT1G75440/AT1G76410/AT2G02760/AT2G17450/AT2G23780/AT2G26350/AT2G28540/AT2G28830/AT2G31510/AT2G33340/AT2G37150/AT2G39100/AT2G39810/AT2G40640/AT2G42030/AT2G42160/AT2G44410/AT2G44950/AT2G47700/AT3G02300/AT3G02340/AT3G06140/AT3G07360/AT3G07370/AT3G12630/AT3G12920/AT3G13550/AT3G15580/AT3G17000/AT3G19910/AT3G24800/AT3G46510/AT3G49060/AT3G53410/AT3G54850/AT3G60220/AT3G61180/AT3G61790/AT3G62240/AT3G62980/AT4G02075/AT4G02440/AT4G03510/AT4G10160/AT4G12570/AT4G21350/AT4G26400/AT4G27880/AT4G28270/AT4G33940/AT4G34100/AT4G34370/AT4G36410/AT4G36800/AT4G37880/AT4G38600/AT5G01160/AT5G01450/AT5G01980/AT5G03450/AT5G05080/AT5G05530/AT5G07270/AT5G08139/AT5G14420/AT5G15710/AT5G17290/AT5G18650/AT5G22920/AT5G25560/AT5G41340/AT5G41700/AT5G42200/AT5G42940/AT5G43190/AT5G47050/AT5G47610/AT5G53300/AT5G53360/AT5G56340/AT5G59550/AT5G62540/AT5G62560/AT5G62910/AT5G64920/AT5G65740/AT5G67250",112
"GO:0004842","ubiquitin-protein transferase activity","108/3916","479/26761",0.225469728601253,1.54080577300769,4.94479948236964,0.00000205307929644103,0.000522166501061503,0.000497061303348882,"AT1G02610/AT1G02860/AT1G04790/AT1G05890/AT1G14400/AT1G24330/AT1G24440/AT1G26800/AT1G45976/AT1G47056/AT1G49210/AT1G49780/AT1G53025/AT1G53190/AT1G55530/AT1G61620/AT1G63170/AT1G63800/AT1G64230/AT1G66040/AT1G66050/AT1G67530/AT1G71980/AT1G72175/AT1G75440/AT1G76410/AT2G02760/AT2G17450/AT2G23780/AT2G26350/AT2G28540/AT2G28830/AT2G31510/AT2G33340/AT2G37150/AT2G39100/AT2G39810/AT2G40640/AT2G42030/AT2G42160/AT2G44410/AT2G44950/AT2G47700/AT3G02300/AT3G02340/AT3G06140/AT3G07360/AT3G07370/AT3G12630/AT3G12920/AT3G13550/AT3G17000/AT3G19910/AT3G24800/AT3G46510/AT3G49060/AT3G53410/AT3G54850/AT3G60220/AT3G61180/AT3G61790/AT3G62240/AT3G62980/AT4G02075/AT4G02440/AT4G03510/AT4G10160/AT4G12570/AT4G21350/AT4G26400/AT4G27880/AT4G28270/AT4G33940/AT4G34100/AT4G34370/AT4G36410/AT4G37880/AT4G38600/AT5G01160/AT5G01450/AT5G01980/AT5G03450/AT5G05080/AT5G05530/AT5G07270/AT5G08139/AT5G14420/AT5G15710/AT5G18650/AT5G22920/AT5G25560/AT5G41340/AT5G41700/AT5G42200/AT5G42940/AT5G43190/AT5G47050/AT5G47610/AT5G53300/AT5G53360/AT5G56340/AT5G59550/AT5G62540/AT5G62560/AT5G62910/AT5G64920/AT5G65740/AT5G67250",108
"GO:0045156","electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity","8/3916","11/26761",0.727272727272727,4.97000650013929,5.45248503347237,0.0000227353054074977,0.00433675950648019,0.00412825282399301,"AT1G14150/AT2G01918/AT4G05180/ATCG00020/ATCG00270/ATCG00280/ATCG00680/ATCG00730",8
"GO:0060090","molecular adaptor activity","71/3916","306/26761",0.23202614379085,1.58561073390882,4.26564465045168,0.0000411014536834807,0.00627208183209915,0.00597052695612667,"AT1G01510/AT1G03760/AT1G05270/AT1G08560/AT1G09320/AT1G11760/AT1G14510/AT1G14920/AT1G15880/AT1G16240/AT1G20920/AT1G26665/AT1G26670/AT1G30460/AT1G48240/AT1G51270/AT1G54110/AT1G62310/AT1G64570/AT1G67310/AT1G77800/AT2G02470/AT2G17380/AT2G18260/AT2G24530/AT2G31440/AT2G36900/AT2G42870/AT2G45640/AT3G04740/AT3G08020/AT3G08850/AT3G09180/AT3G09740/AT3G12980/AT3G19840/AT3G22961/AT3G24315/AT3G42790/AT3G52100/AT3G54500/AT3G55600/AT3G56190/AT3G56450/AT3G58680/AT4G02195/AT4G04780/AT4G05060/AT4G10920/AT4G16150/AT4G17730/AT4G19190/AT4G21450/AT4G25910/AT4G30790/AT4G31805/AT4G40050/AT5G10450/AT5G10890/AT5G12230/AT5G12390/AT5G16830/AT5G19480/AT5G26210/AT5G27920/AT5G28640/AT5G43930/AT5G47180/AT5G64610/AT5G65430/AT5G67320",71
"GO:0005198","structural molecule activity","102/3916","492/26761",0.207317073170732,1.41675490171653,3.86287195524816,0.000140122177652444,0.0178188702581359,0.0169621583474012,"AT1G05190/AT1G06760/AT1G07830/AT1G14850/AT1G15930/AT1G18450/AT1G20693/AT1G20696/AT1G29070/AT1G49490/AT1G52740/AT1G64330/AT1G64510/AT1G64740/AT1G66580/AT1G74050/AT1G74060/AT1G74970/AT1G75350/AT1G78630/AT1G79990/AT2G09990/AT2G15880/AT2G19740/AT2G29550/AT2G30620/AT2G33800/AT2G34520/AT2G36160/AT2G37190/AT2G37470/AT2G40060/AT2G41620/AT2G41840/AT2G42740/AT2G43030/AT2G45000/AT3G01740/AT3G02080/AT3G04920/AT3G09500/AT3G13580/AT3G17626/AT3G18780/AT3G20230/AT3G20970/AT3G24830/AT3G27850/AT3G33520/AT3G45980/AT3G46040/AT3G51880/AT3G53740/AT3G63490/AT4G01310/AT4G02230/AT4G13340/AT4G25910/AT4G27090/AT4G27230/AT4G31460/AT4G32910/AT4G34620/AT4G35490/AT4G39200/AT5G07090/AT5G09770/AT5G10360/AT5G10980/AT5G17870/AT5G18380/AT5G19770/AT5G19780/AT5G23860/AT5G23900/AT5G27700/AT5G35530/AT5G44340/AT5G47190/AT5G52370/AT5G54640/AT5G55140/AT5G56180/AT5G56940/AT5G62690/AT5G65220/ATCG00065/ATCG00160/ATCG00330/ATCG00660/ATCG00750/ATCG00770/ATCG00780/ATCG00790/ATCG00830/ATCG00840/ATCG00900/ATCG00905/ATCG01230/ATCG01240/ATCG01300/ATCG01310",102
"GO:0030674","protein-macromolecule adaptor activity","65/3916","290/26761",0.224137931034483,1.53170458948258,3.76923355632055,0.000242195278724662,0.0187690609918417,0.0178666649436032,"AT1G01510/AT1G03760/AT1G05270/AT1G08560/AT1G09320/AT1G11760/AT1G14510/AT1G14920/AT1G15880/AT1G16240/AT1G26665/AT1G26670/AT1G30460/AT1G48240/AT1G51270/AT1G54110/AT1G62310/AT1G64570/AT1G67310/AT1G77800/AT2G02470/AT2G17380/AT2G18260/AT2G24530/AT2G31440/AT2G36900/AT2G42870/AT2G45640/AT3G04740/AT3G08020/AT3G08850/AT3G09180/AT3G09740/AT3G12980/AT3G19840/AT3G22961/AT3G24315/AT3G42790/AT3G52100/AT3G54500/AT3G55600/AT3G56190/AT3G56450/AT3G58680/AT4G02195/AT4G04780/AT4G05060/AT4G10920/AT4G16150/AT4G17730/AT4G19190/AT4G21450/AT4G40050/AT5G10450/AT5G12230/AT5G16830/AT5G19480/AT5G26210/AT5G27920/AT5G28640/AT5G43930/AT5G47180/AT5G64610/AT5G65430/AT5G67320",65
"GO:0005525","GTP binding","38/3916","147/26761",0.258503401360544,1.76654992947128,3.85844979790759,0.00025555846506319,0.0187690609918417,0.0178666649436032,"AT1G02130/AT1G02280/AT1G05810/AT1G06400/AT1G07615/AT1G16920/AT1G20090/AT1G21160/AT1G22740/AT1G62750/AT1G64740/AT1G75840/AT1G76720/AT1G76810/AT2G18390/AT2G23460/AT2G24765/AT2G26300/AT2G29550/AT3G15060/AT3G46060/AT3G48040/AT3G49870/AT3G62290/AT4G02080/AT4G17170/AT4G19640/AT4G35950/AT5G19780/AT5G23860/AT5G44340/AT5G46070/AT5G55190/AT5G59150/AT5G60860/AT5G62690/AT5G62880/AT5G65960",38
"GO:0019001","guanyl nucleotide binding","38/3916","147/26761",0.258503401360544,1.76654992947128,3.85844979790759,0.00025555846506319,0.0187690609918417,0.0178666649436032,"AT1G02130/AT1G02280/AT1G05810/AT1G06400/AT1G07615/AT1G16920/AT1G20090/AT1G21160/AT1G22740/AT1G62750/AT1G64740/AT1G75840/AT1G76720/AT1G76810/AT2G18390/AT2G23460/AT2G24765/AT2G26300/AT2G29550/AT3G15060/AT3G46060/AT3G48040/AT3G49870/AT3G62290/AT4G02080/AT4G17170/AT4G19640/AT4G35950/AT5G19780/AT5G23860/AT5G44340/AT5G46070/AT5G55190/AT5G59150/AT5G60860/AT5G62690/AT5G62880/AT5G65960",38
"GO:0032561","guanyl ribonucleotide binding","38/3916","147/26761",0.258503401360544,1.76654992947128,3.85844979790759,0.00025555846506319,0.0187690609918417,0.0178666649436032,"AT1G02130/AT1G02280/AT1G05810/AT1G06400/AT1G07615/AT1G16920/AT1G20090/AT1G21160/AT1G22740/AT1G62750/AT1G64740/AT1G75840/AT1G76720/AT1G76810/AT2G18390/AT2G23460/AT2G24765/AT2G26300/AT2G29550/AT3G15060/AT3G46060/AT3G48040/AT3G49870/AT3G62290/AT4G02080/AT4G17170/AT4G19640/AT4G35950/AT5G19780/AT5G23860/AT5G44340/AT5G46070/AT5G55190/AT5G59150/AT5G60860/AT5G62690/AT5G62880/AT5G65960",38
