"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","photosynthesis","125/3581","229/21384",0.54585152838428,3.2595613188968,15.4179005636995,0.00000000000000000000000000000000000000300735342210344,0.00000000000000000000000000000000000644175103014558,0.00000000000000000000000000000000000535625472652529,"AT1G01790/AT1G01990/AT1G02910/AT1G03600/AT1G05385/AT1G06680/AT1G08380/AT1G12900/AT1G14150/AT1G16720/AT1G18730/AT1G20020/AT1G29910/AT1G29920/AT1G29930/AT1G32060/AT1G34000/AT1G42970/AT1G43670/AT1G45474/AT1G50250/AT1G54500/AT1G55670/AT1G60950/AT1G61520/AT1G67090/AT1G67740/AT1G70760/AT1G71500/AT1G75540/AT1G75690/AT1G76450/AT1G76560/AT1G76570/AT1G79040/AT2G01918/AT2G05620/AT2G20890/AT2G21170/AT2G28605/AT2G30570/AT2G30950/AT2G31040/AT2G34420/AT2G34430/AT2G39470/AT2G40300/AT2G45770/AT2G46820/AT2G47400/AT2G47940/AT3G01440/AT3G01500/AT3G03380/AT3G03630/AT3G05410/AT3G08010/AT3G08940/AT3G15095/AT3G15850/AT3G16250/AT3G26650/AT3G47470/AT3G50820/AT3G53920/AT3G54890/AT3G55330/AT3G55800/AT3G56090/AT3G56650/AT3G58830/AT3G60370/AT3G61470/AT4G01050/AT4G01800/AT4G03280/AT4G05180/AT4G10340/AT4G18370/AT4G19100/AT4G21280/AT4G23890/AT4G25910/AT4G26160/AT4G27600/AT4G30720/AT4G30950/AT4G33470/AT4G35250/AT4G35760/AT5G01530/AT5G01600/AT5G01920/AT5G02120/AT5G08410/AT5G08720/AT5G15802/AT5G27390/AT5G28450/AT5G35100/AT5G38410/AT5G42270/AT5G44660/AT5G49740/AT5G52100/AT5G54270/AT5G61410/AT5G64040/AT5G66570/ATCG00020/ATCG00080/ATCG00220/ATCG00270/ATCG00280/ATCG00300/ATCG00340/ATCG00350/ATCG00440/ATCG00540/ATCG00570/ATCG00580/ATCG00680/ATCG00690/ATCG00710/ATCG00720",125
"GO:0019684","photosynthesis, light reaction","86/3581","153/21384",0.562091503267974,3.35653859421456,13.119730970825,0.000000000000000000000000000122166433875924,0.000000000000000000000000130840250681114,0.000000000000000000000000108792424272665,"AT1G01990/AT1G02910/AT1G03600/AT1G05385/AT1G06680/AT1G08380/AT1G14150/AT1G16720/AT1G18730/AT1G29910/AT1G29920/AT1G29930/AT1G34000/AT1G45474/AT1G50250/AT1G54500/AT1G55670/AT1G60950/AT1G61520/AT1G67740/AT1G70760/AT1G71500/AT1G75690/AT1G76570/AT1G79040/AT2G01918/AT2G05620/AT2G20890/AT2G30570/AT2G30950/AT2G34420/AT2G34430/AT2G45770/AT2G46820/AT2G47940/AT3G01440/AT3G03380/AT3G08010/AT3G08940/AT3G15095/AT3G15850/AT3G16250/AT3G47470/AT3G50820/AT3G54890/AT3G60370/AT3G61470/AT4G01050/AT4G03280/AT4G05180/AT4G10340/AT4G18370/AT4G19100/AT4G21280/AT4G23890/AT4G25910/AT4G30950/AT4G33470/AT4G35250/AT4G35760/AT5G01530/AT5G01920/AT5G02120/AT5G08720/AT5G28450/AT5G35100/AT5G42270/AT5G44660/AT5G49740/AT5G52100/AT5G54270/AT5G64040/AT5G66570/ATCG00020/ATCG00080/ATCG00220/ATCG00270/ATCG00280/ATCG00300/ATCG00340/ATCG00540/ATCG00570/ATCG00580/ATCG00680/ATCG00710/ATCG00720",86
"GO:0009765","photosynthesis, light harvesting","29/3581","43/21384",0.674418604651163,4.0273017151244,8.91194370312078,0.000000000000191509287303886,0.000000000136737631134975,0.000000000113696040041465,"AT1G03600/AT1G05385/AT1G08380/AT1G29910/AT1G29920/AT1G29930/AT1G45474/AT1G50250/AT1G61520/AT1G75690/AT1G76570/AT2G30950/AT2G34420/AT2G34430/AT2G47940/AT3G08940/AT3G47470/AT3G54890/AT3G61470/AT4G10340/AT4G18370/AT5G01530/AT5G28450/AT5G54270/ATCG00080/ATCG00270/ATCG00340/ATCG00580/ATCG00710",29
"GO:0009767","photosynthetic electron transport chain","34/3581","57/21384",0.596491228070175,3.56195711283235,8.68628913404316,0.000000000000335639948176598,0.000000000179735192248568,0.000000000149448103240738,"AT1G08380/AT1G14150/AT1G18730/AT1G55670/AT1G60950/AT1G67740/AT1G70760/AT2G01918/AT2G05620/AT2G30950/AT2G45770/AT2G46820/AT3G01440/AT3G03380/AT3G15850/AT3G16250/AT3G50820/AT4G01050/AT4G03280/AT4G05180/AT4G21280/AT4G23890/AT4G30950/AT5G42270/AT5G49740/AT5G64040/AT5G66570/ATCG00020/ATCG00270/ATCG00280/ATCG00540/ATCG00570/ATCG00580/ATCG00680",34
"GO:0009657","plastid organization","98/3581","296/21384",0.331081081081081,1.9770560842887,7.59167373247736,0.00000000000351522262350962,0.00000000150592137191152,0.00000000125215930083753,"AT1G01790/AT1G08540/AT1G09340/AT1G10910/AT1G12410/AT1G21600/AT1G27695/AT1G31410/AT1G35680/AT1G42550/AT1G45230/AT1G49510/AT1G50900/AT1G56200/AT1G58070/AT1G62750/AT1G63680/AT1G64500/AT1G65260/AT1G69390/AT1G71720/AT1G79850/AT2G01110/AT2G04540/AT2G07050/AT2G16365/AT2G16800/AT2G18710/AT2G20890/AT2G21170/AT2G21290/AT2G24060/AT2G26300/AT2G28800/AT2G30170/AT2G30950/AT2G31040/AT2G33430/AT2G33800/AT2G38140/AT2G38370/AT2G45770/AT2G46820/AT2G47940/AT3G08010/AT3G19570/AT3G24506/AT3G24560/AT3G26900/AT3G27750/AT3G29185/AT3G46630/AT3G51220/AT3G56910/AT3G56940/AT3G57190/AT3G58830/AT3G62910/AT3G63140/AT3G63190/AT4G01800/AT4G02195/AT4G13200/AT4G14870/AT4G18160/AT4G20130/AT4G20360/AT4G25910/AT4G26150/AT4G31780/AT4G31850/AT4G34020/AT4G34090/AT4G35780/AT4G37650/AT4G38160/AT4G38470/AT4G39460/AT5G02250/AT5G08050/AT5G10900/AT5G14100/AT5G16620/AT5G21920/AT5G22640/AT5G23040/AT5G23120/AT5G36170/AT5G38150/AT5G42310/AT5G50920/AT5G51020/AT5G54600/AT5G55580/AT5G56860/AT5G58650/AT5G67385/AT5G67570",98
"GO:0009642","response to light intensity","64/3581","164/21384",0.390243902439024,2.33034783852446,7.67015826368913,0.00000000000751625310977056,0.00000000268330236018809,0.00000000223114039679505,"AT1G01790/AT1G03600/AT1G08810/AT1G09570/AT1G12080/AT1G21400/AT1G31812/AT1G34000/AT1G45474/AT1G54520/AT1G60950/AT1G61520/AT1G62480/AT1G67070/AT1G67740/AT1G69935/AT2G05620/AT2G06850/AT2G26300/AT2G28190/AT2G30950/AT2G37678/AT2G41100/AT2G41430/AT2G43010/AT2G43400/AT2G45400/AT2G47180/AT2G47270/AT2G47450/AT3G02790/AT3G03380/AT3G03630/AT3G06850/AT3G13450/AT3G15850/AT3G18780/AT3G47340/AT3G47470/AT3G47860/AT3G48390/AT3G50820/AT3G54890/AT3G61470/AT4G01800/AT4G08920/AT4G14890/AT4G17490/AT4G24230/AT4G25100/AT4G26555/AT4G30950/AT4G32770/AT4G33980/AT5G02120/AT5G16400/AT5G18170/AT5G42270/AT5G46110/AT5G47390/AT5G53980/AT5G54270/AT5G63190/AT5G66570",64
"GO:0006091","generation of precursor metabolites and energy","123/3581","417/21384",0.294964028776978,1.76138251643868,7.0419455451381,0.0000000000481808084457078,0.0000000147433273843866,0.0000000122589365248327,"AT1G01990/AT1G02910/AT1G03600/AT1G05385/AT1G06680/AT1G08380/AT1G09420/AT1G13700/AT1G14150/AT1G16720/AT1G18730/AT1G19530/AT1G20020/AT1G29910/AT1G29920/AT1G29930/AT1G34000/AT1G45474/AT1G50250/AT1G50460/AT1G52710/AT1G54500/AT1G55670/AT1G60950/AT1G61520/AT1G67740/AT1G70760/AT1G71500/AT1G75690/AT1G76570/AT1G79040/AT2G01090/AT2G01918/AT2G05620/AT2G20890/AT2G21170/AT2G21330/AT2G30160/AT2G30570/AT2G30950/AT2G34420/AT2G34430/AT2G43400/AT2G45770/AT2G46820/AT2G47940/AT3G01440/AT3G01850/AT3G03380/AT3G08010/AT3G08940/AT3G10020/AT3G15095/AT3G15850/AT3G16250/AT3G22960/AT3G45300/AT3G47470/AT3G49160/AT3G50820/AT3G54890/AT3G58750/AT3G60370/AT3G61470/AT4G01050/AT4G03280/AT4G05180/AT4G10340/AT4G14890/AT4G18370/AT4G19100/AT4G21280/AT4G23890/AT4G25910/AT4G26520/AT4G26530/AT4G30950/AT4G33470/AT4G35250/AT4G35760/AT4G38680/AT5G01530/AT5G01920/AT5G02120/AT5G08720/AT5G17770/AT5G19220/AT5G24420/AT5G28450/AT5G35100/AT5G35790/AT5G42270/AT5G44520/AT5G44660/AT5G49740/AT5G52100/AT5G52920/AT5G54270/AT5G61410/AT5G61580/AT5G64040/AT5G66570/AT5G67490/ATCG00020/ATCG00080/ATCG00130/ATCG00220/ATCG00270/ATCG00280/ATCG00300/ATCG00340/ATCG00430/ATCG00470/ATCG00480/ATCG00540/ATCG00570/ATCG00580/ATCG00680/ATCG00710/ATCG00720/ATCG00890/ATCG01250/ATMG00220",123
"GO:0010207","photosystem II assembly","20/3581","28/21384",0.714285714285714,4.26536881158495,7.7542747074309,0.000000000224860799907269,0.0000000602064791751712,0.0000000500611149267235,"AT1G02910/AT1G03600/AT1G05385/AT1G16720/AT1G34000/AT1G54500/AT1G71500/AT1G79040/AT2G20890/AT3G15095/AT3G50820/AT3G60370/AT4G10340/AT4G19100/AT4G35250/AT4G35760/AT5G02120/AT5G35100/AT5G66570/ATCG00680",20
"GO:0009768","photosynthesis, light harvesting in photosystem I","17/3581","23/21384",0.739130434782609,4.41372946590095,7.34635838851252,0.00000000224329032036272,0.000000503776534723864,0.00000041888539817818,"AT1G08380/AT1G29910/AT1G29920/AT1G29930/AT1G45474/AT1G61520/AT1G76570/AT2G34420/AT2G34430/AT3G08940/AT3G47470/AT3G54890/AT3G61470/AT4G10340/AT5G01530/AT5G54270/ATCG00340",17
"GO:0000375","RNA splicing, via transesterification reactions","83/3581","264/21384",0.314393939393939,1.87740854509913,6.43349175566088,0.0000000025870877133345,0.000000503776534723864,0.00000041888539817818,"AT1G03140/AT1G04510/AT1G09230/AT1G09760/AT1G09770/AT1G13350/AT1G14650/AT1G23400/AT1G23860/AT1G25682/AT1G27650/AT1G30460/AT1G30480/AT1G33520/AT1G49590/AT1G54380/AT1G55310/AT1G60170/AT1G60200/AT1G60900/AT1G65660/AT1G70070/AT1G73720/AT1G76860/AT1G80060/AT1G80930/AT2G14285/AT2G18740/AT2G29210/AT2G30260/AT2G32600/AT2G33340/AT2G36130/AT2G37340/AT2G39340/AT2G41500/AT2G43370/AT2G43770/AT2G47580/AT3G01370/AT3G05760/AT3G07860/AT3G11500/AT3G13200/AT3G13570/AT3G15610/AT3G18790/AT3G19670/AT3G23070/AT3G25840/AT3G27750/AT3G50670/AT3G51110/AT3G53030/AT3G53500/AT3G54170/AT3G55460/AT3G61860/AT4G08580/AT4G15900/AT4G21110/AT4G25500/AT4G26480/AT5G13010/AT5G16180/AT5G16260/AT5G16780/AT5G17440/AT5G17900/AT5G27270/AT5G27720/AT5G27860/AT5G41690/AT5G42820/AT5G46400/AT5G51300/AT5G51410/AT5G52040/AT5G53180/AT5G56140/AT5G58020/AT5G64270/AT5G64730",83
