"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009699","phenylpropanoid biosynthetic process","16/415","104/21384",0.153846153846154,7.92734012974977,9.96246654903587,0.00000000016962891742545,0.000000105207284476704,0.0000000880664533252096,"AT1G04220/AT1G28680/AT1G61590/AT1G64670/AT3G11430/AT3G21230/AT3G24503/AT3G27190/AT3G53510/AT4G01070/AT4G12350/AT4G13660/AT4G23690/AT4G39330/AT5G23190/AT5G63560",16
"GO:0009698","phenylpropanoid metabolic process","18/415","137/21384",0.131386861313869,6.77006419839944,9.53150821042168,0.00000000017953461514796,0.000000105207284476704,0.0000000880664533252096,"AT1G04220/AT1G05250/AT1G28680/AT1G61590/AT1G64670/AT3G11430/AT3G21230/AT3G21240/AT3G24503/AT3G27190/AT3G53510/AT4G01070/AT4G12350/AT4G13660/AT4G23690/AT4G39330/AT5G23190/AT5G63560",18
"GO:0031667","response to nutrient levels","25/415","284/21384",0.0880281690140845,4.53589003902936,8.43890697422389,0.000000000361583475152983,0.000000111108438736616,0.0000000930061657109087,"AT1G04770/AT1G08190/AT1G23730/AT1G74020/AT1G78020/AT2G26660/AT2G41220/AT2G44670/AT3G03250/AT3G05630/AT3G08860/AT3G22550/AT3G23430/AT3G26840/AT3G43190/AT3G44320/AT3G49580/AT3G54470/AT4G02270/AT4G10380/AT5G20150/AT5G20700/AT5G24660/AT5G43350/AT5G48850",25
"GO:0044550","secondary metabolite biosynthetic process","17/415","126/21384",0.134920634920635,6.95215146299484,9.42687073173979,0.000000000379209688520873,0.000000111108438736616,0.0000000930061657109087,"AT1G04220/AT1G28680/AT1G61590/AT1G64670/AT3G11430/AT3G21230/AT3G24503/AT3G27190/AT3G53510/AT4G01070/AT4G12350/AT4G13660/AT4G23690/AT4G30530/AT4G39330/AT5G23190/AT5G63560",17
"GO:0042594","response to starvation","21/415","225/21384",0.0933333333333333,4.80925301204819,8.08077502579706,0.00000000333467156112034,0.000000781647013926608,0.000000654297662097717,"AT1G04770/AT1G08190/AT1G74020/AT1G78020/AT2G26660/AT2G44670/AT3G03250/AT3G05630/AT3G22550/AT3G23430/AT3G26840/AT3G43190/AT3G44320/AT3G49580/AT3G54470/AT4G02270/AT5G20150/AT5G20700/AT5G24660/AT5G43350/AT5G48850",21
"GO:0006979","response to oxidative stress","30/415","464/21384",0.0646551724137931,3.33153302866639,7.14314109712209,0.0000000100583000404837,0.00000196472127457448,0.00000164462028732119,"AT1G05240/AT1G05250/AT1G31770/AT1G35720/AT1G35910/AT1G52760/AT1G60470/AT1G75280/AT2G24150/AT2G38390/AT2G43480/AT3G01190/AT3G17790/AT3G21770/AT3G32980/AT4G04810/AT4G04830/AT4G08770/AT4G11290/AT4G30170/AT4G34710/AT4G37610/AT5G06730/AT5G07460/AT5G14130/AT5G15180/AT5G21100/AT5G37980/AT5G38000/AT5G44380",30
"GO:0019748","secondary metabolic process","21/415","255/21384",0.0823529411764706,4.24345854004252,7.33007597441453,0.0000000304612864648461,0.00000510008967668566,0.00000426916074965963,"AT1G04220/AT1G05250/AT1G28680/AT1G61590/AT1G64670/AT1G78320/AT3G11430/AT3G21230/AT3G21240/AT3G24503/AT3G27190/AT3G43800/AT3G53510/AT4G01070/AT4G12350/AT4G13660/AT4G23690/AT4G30530/AT4G39330/AT5G23190/AT5G63560",21
"GO:0031669","cellular response to nutrient levels","18/415","190/21384",0.0947368421052632,4.88157260621433,7.56044844329632,0.0000000353856219578682,0.00000518399361682769,0.00000433939469272805,"AT1G04770/AT1G08190/AT1G74020/AT2G26660/AT3G03250/AT3G05630/AT3G08860/AT3G23430/AT3G26840/AT3G44320/AT3G49580/AT3G54470/AT4G02270/AT4G10380/AT5G20150/AT5G24660/AT5G43350/AT5G48850",18
"GO:0009267","cellular response to starvation","16/415","172/21384",0.0930232558139535,4.79327542729056,7.02679523961229,0.000000262422478227994,0.0000341732382759121,0.0000286055847612269,"AT1G04770/AT1G08190/AT1G74020/AT2G26660/AT3G03250/AT3G05630/AT3G23430/AT3G26840/AT3G44320/AT3G49580/AT3G54470/AT4G02270/AT5G20150/AT5G24660/AT5G43350/AT5G48850",16
"GO:0006790","sulfur compound metabolic process","24/415","390/21384",0.0615384615384615,3.17093605189991,6.08697116494354,0.00000075479571840745,0.0000884620581973531,0.0000740494325848151,"AT1G04770/AT1G24625/AT1G36370/AT1G62180/AT1G62570/AT1G78320/AT2G17340/AT2G44460/AT3G01120/AT3G13110/AT3G23810/AT3G43800/AT3G44320/AT3G60140/AT4G02680/AT4G04610/AT4G21990/AT4G30530/AT4G34200/AT4G35640/AT5G26220/AT5G48180/AT5G48850/AT5G57740",24
"GO:0003008","system process","6/415","22/21384",0.272727272727273,14.0530120481928,8.61728844805132,0.0000029544957520646,0.000230844601427981,0.000193234388836786,"AT1G18880/AT1G35720/AT1G56430/AT2G18950/AT3G47960/AT5G53730",6
"GO:0003013","circulatory system process","6/415","22/21384",0.272727272727273,14.0530120481928,8.61728844805132,0.0000029544957520646,0.000230844601427981,0.000193234388836786,"AT1G18880/AT1G35720/AT1G56430/AT2G18950/AT3G47960/AT5G53730",6
"GO:0003018","vascular process in circulatory system","6/415","22/21384",0.272727272727273,14.0530120481928,8.61728844805132,0.0000029544957520646,0.000230844601427981,0.000193234388836786,"AT1G18880/AT1G35720/AT1G56430/AT2G18950/AT3G47960/AT5G53730",6
"GO:0010232","vascular transport","6/415","22/21384",0.272727272727273,14.0530120481928,8.61728844805132,0.0000029544957520646,0.000230844601427981,0.000193234388836786,"AT1G18880/AT1G35720/AT1G56430/AT2G18950/AT3G47960/AT5G53730",6
"GO:0010233","phloem transport","6/415","22/21384",0.272727272727273,14.0530120481928,8.61728844805132,0.0000029544957520646,0.000230844601427981,0.000193234388836786,"AT1G18880/AT1G35720/AT1G56430/AT2G18950/AT3G47960/AT5G53730",6
"GO:0016051","carbohydrate biosynthetic process","21/415","370/21384",0.0567567567567568,2.92454575056985,5.2534456577014,0.0000128491284680225,0.000941198660282647,0.00078785445606559,"AT1G04770/AT1G14080/AT1G35910/AT1G51420/AT1G56550/AT1G63450/AT1G67330/AT1G71230/AT2G46740/AT3G21190/AT3G27190/AT3G52930/AT4G24000/AT4G37450/AT4G39210/AT5G09870/AT5G15740/AT5G33290/AT5G44480/AT5G48850/AT5G49270",21
"GO:0006563","L-serine metabolic process","6/415","31/21384",0.193548387096774,9.9731053245239,7.03337330618174,0.0000251477095942594,0.00172040054483165,0.00144010535996326,"AT1G17745/AT1G36370/AT3G13110/AT4G13930/AT4G34200/AT4G35640",6
"GO:0005976","polysaccharide metabolic process","24/415","481/21384",0.0498960498960499,2.5710292312702,4.90254964498999,0.0000264225339649912,0.00172040054483165,0.00144010535996326,"AT1G04680/AT1G11580/AT1G14080/AT1G56550/AT1G63450/AT1G67330/AT2G18230/AT3G03250/AT3G14310/AT3G21190/AT3G23920/AT3G27190/AT3G44990/AT4G02280/AT4G24000/AT4G28850/AT4G37450/AT4G37800/AT4G39210/AT5G09870/AT5G15740/AT5G33290/AT5G44480/AT5G49270",24
"GO:0055062","phosphate ion homeostasis","5/415","20/21384",0.25,12.8819277108434,7.47876910849453,0.0000327573226728433,0.00202060958803013,0.00169140303219335,"AT3G02040/AT3G17790/AT3G23430/AT3G47420/AT4G25220",5
"GO:0042546","cell wall biogenesis","16/415","260/21384",0.0615384615384615,3.17093605189991,4.95467453851632,0.0000530798886382952,0.00300740330529239,0.00251742399904123,"AT1G14080/AT1G56550/AT1G63450/AT1G67330/AT2G16385/AT3G21190/AT3G44990/AT4G02270/AT4G12350/AT4G17880/AT4G24000/AT4G28850/AT4G37450/AT4G37800/AT5G09870/AT5G49270",16
"GO:0010345","suberin biosynthetic process","5/415","22/21384",0.227272727272727,11.710843373494,7.07104433294963,0.0000538869192927818,0.00300740330529239,0.00251742399904123,"AT1G04220/AT1G64670/AT3G11430/AT3G53510/AT5G23190",5
"GO:0098771","inorganic ion homeostasis","14/415","212/21384",0.0660377358490566,3.40277335758127,4.94617299593035,0.0000729074085020593,0.00388397648929152,0.00325118204420666,"AT1G04120/AT1G29020/AT1G32450/AT1G36370/AT1G80830/AT3G02040/AT3G17790/AT3G23430/AT3G47420/AT4G00900/AT4G08230/AT4G25220/AT4G33700/AT5G27150",14
