"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098791","Golgi apparatus subcompartment","36/903","381/26913",0.094488188976378,2.81612472859497,6.65226974906462,0.000000027987707080824,0.00000702491447728681,0.00000592160960341644,"AT1G18630/AT1G19710/AT1G26850/AT1G52420/AT1G60780/AT1G64880/AT1G77140/AT2G20370/AT2G22795/AT2G25520/AT2G35610/AT2G37940/AT2G38530/AT2G43130/AT3G02230/AT3G02350/AT3G06300/AT3G07330/AT3G07950/AT3G21160/AT3G21190/AT3G23300/AT3G25140/AT3G27230/AT3G47960/AT4G27720/AT4G34960/AT4G35380/AT4G36890/AT5G11230/AT5G18900/AT5G33290/AT5G37310/AT5G42860/AT5G51640/AT5G65810",36
"GO:0005795","Golgi stack","24/903","198/26913",0.121212121212121,3.61260444981375,6.87504197718587,0.0000000602716060163502,0.00000756408655505195,0.00000637610147857178,"AT1G26850/AT1G52420/AT2G20370/AT2G22795/AT2G35610/AT2G43130/AT3G02230/AT3G02350/AT3G06300/AT3G07330/AT3G07950/AT3G21160/AT3G21190/AT3G23300/AT3G25140/AT3G27230/AT3G47960/AT4G27720/AT4G34960/AT4G36890/AT5G11230/AT5G18900/AT5G37310/AT5G51640",24
"GO:0031985","Golgi cisterna","23/903","189/26913",0.121693121693122,3.62694018175746,6.75269353676484,0.000000105148917687493,0.00000782949302326005,0.00000659982427207075,"AT1G26850/AT1G52420/AT2G20370/AT2G22795/AT2G35610/AT3G02230/AT3G02350/AT3G06300/AT3G07330/AT3G07950/AT3G21160/AT3G21190/AT3G23300/AT3G25140/AT3G27230/AT3G47960/AT4G27720/AT4G34960/AT4G36890/AT5G11230/AT5G18900/AT5G37310/AT5G51640",23
"GO:0005802","trans-Golgi network","30/903","301/26913",0.0996677740863787,2.97049701438174,6.405705344384,0.000000124772797183427,0.00000782949302326005,0.00000659982427207075,"AT1G18630/AT1G19710/AT1G26850/AT1G60780/AT1G64880/AT1G77140/AT2G20370/AT2G22795/AT2G25520/AT2G35610/AT2G37940/AT2G38530/AT2G43130/AT3G02350/AT3G06300/AT3G07330/AT3G21160/AT3G21190/AT3G23300/AT3G25140/AT3G27230/AT4G27720/AT4G34960/AT4G35380/AT4G36890/AT5G11230/AT5G33290/AT5G37310/AT5G42860/AT5G65810",30
"GO:0022626","cytosolic ribosome","30/903","315/26913",0.0952380952380952,2.83847492485366,6.11554523716317,0.000000334729167861873,0.000016803404226666,0.0000141643289979445,"AT1G09590/AT1G48630/AT1G58684/AT1G58983/AT1G59359/AT1G61580/AT2G19750/AT2G32220/AT2G36170/AT2G40010/AT2G40205/AT2G45710/AT3G02230/AT3G05590/AT3G10610/AT3G11250/AT3G14210/AT3G14420/AT3G17820/AT3G44590/AT3G56020/AT4G10450/AT5G15520/AT5G15650/AT5G39740/AT5G39850/AT5G58420/AT5G59240/AT5G59850/AT5G66860",30
"GO:0099503","secretory vesicle","21/903","174/26913",0.120689655172414,3.59703287890938,6.40362921842853,0.000000428892968587699,0.0000179420225192521,0.0000151241204712504,"AT1G09210/AT1G41830/AT1G45201/AT1G55265/AT1G73260/AT1G75040/AT2G02850/AT3G04720/AT3G12500/AT3G14210/AT3G44590/AT3G54960/AT4G11290/AT4G12120/AT4G16260/AT4G16660/AT5G23820/AT5G28540/AT5G42020/AT5G55730/AT5G56010",21
"GO:0000138","Golgi trans cisterna","14/903","87/26913",0.160919540229885,4.79604383854584,6.60784080560244,0.00000115287846127193,0.0000413389276827508,0.0000348464016113773,"AT2G20370/AT2G35610/AT3G02230/AT3G02350/AT3G07330/AT3G07950/AT3G25140/AT3G27230/AT3G47960/AT4G27720/AT4G36890/AT5G11230/AT5G37310/AT5G51640",14
"GO:0005840","ribosome","33/903","416/26913",0.0793269230769231,2.36425856120624,5.22506486670013,0.00000521779615379236,0.000163708354325235,0.000137996977225298,"AT1G09590/AT1G48630/AT1G58684/AT1G58983/AT1G59359/AT1G61580/AT1G64880/AT2G19750/AT2G32220/AT2G36170/AT2G40010/AT2G40205/AT2G45710/AT3G02230/AT3G05590/AT3G10610/AT3G11250/AT3G14210/AT3G14420/AT3G17170/AT3G17820/AT3G18240/AT3G44590/AT3G56020/AT4G10450/AT5G15520/AT5G15650/AT5G39740/AT5G39850/AT5G58420/AT5G59240/AT5G59850/AT5G66860",33
"GO:0005768","endosome","32/903","426/26913",0.0751173708920188,2.23879712382824,4.80214520890478,0.0000215693599782172,0.000601545483836945,0.000507069164400193,"AT1G09310/AT1G18630/AT1G19710/AT1G26850/AT1G64880/AT1G71010/AT1G77140/AT1G79610/AT1G80910/AT2G20370/AT2G22795/AT2G25520/AT2G35190/AT2G35610/AT2G38530/AT3G02350/AT3G06300/AT3G07330/AT3G21160/AT3G21190/AT3G23300/AT3G25140/AT3G27230/AT3G46540/AT4G27720/AT4G34960/AT4G36890/AT5G11230/AT5G33290/AT5G37310/AT5G65270/AT5G65810",32
"GO:0044391","ribosomal subunit","27/903","335/26913",0.0805970149253731,2.40211236177914,4.81161377334938,0.0000277524077942155,0.000696585435634809,0.000587182522803928,"AT1G09590/AT1G58684/AT1G58983/AT1G59359/AT1G61580/AT1G64880/AT2G19750/AT2G32220/AT2G36170/AT2G40010/AT2G40205/AT2G45710/AT3G05590/AT3G10610/AT3G11250/AT3G17170/AT3G18240/AT3G44590/AT3G56020/AT4G10450/AT5G15520/AT5G39740/AT5G39850/AT5G58420/AT5G59240/AT5G59850/AT5G66860",27
