"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016671","oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor","6/424","36/26761",0.166666666666667,10.5192610062893,7.25167712442808,0.0000198858143046369,0.00644499358437904,0.00551338750430726,"AT1G62180/AT4G04610/AT4G04810/AT4G04830/AT4G21990/AT5G42980",6
"GO:1901682","sulfur compound transmembrane transporter activity","6/424","40/26761",0.15,9.46733490566038,6.7997541495748,0.0000371469370857582,0.00644499358437904,0.00551338750430726,"AT1G77990/AT3G12520/AT4G01440/AT5G13550/AT5G40670/AT5G62680",6
"GO:0015144","carbohydrate transmembrane transporter activity","8/424","87/26761",0.0919540229885057,5.80373021036652,5.69425605404307,0.0000728643402965734,0.00842797536097033,0.007209734724082,"AT1G22710/AT1G30220/AT3G05400/AT3G28007/AT4G04750/AT4G15920/AT5G18840/AT5G27350",8
"GO:0051119","sugar transmembrane transporter activity","6/424","58/26761",0.103448275862069,6.52919648666233,5.3485840300248,0.000308160237166464,0.0267329005741907,0.0228687333897218,"AT3G05400/AT3G28007/AT4G04750/AT4G15920/AT5G18840/AT5G27350",6
"GO:0035198","miRNA binding","3/424","11/26761",0.272727272727273,17.2133361921098,6.82416734905103,0.000592808286110506,0.0380101404724518,0.0325158793060258,"AT2G21660/AT2G28350/AT4G30080",3
"GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","7/424","92/26761",0.0760869565217391,4.80227132895816,4.63528544684472,0.000657235858313287,0.0380101404724518,0.0325158793060258,"AT1G19570/AT1G62180/AT4G04610/AT4G04810/AT4G04830/AT4G21990/AT5G42980",7
"GO:0008271","secondary active sulfate transmembrane transporter activity","3/424","12/26761",0.25,15.778891509434,6.49712974675817,0.000781141789303583,0.0387223144126205,0.0331251104637008,"AT1G77990/AT3G12520/AT5G13550",3
"GO:0015103","inorganic anion transmembrane transporter activity","8/424","127/26761",0.062992125984252,3.97578368741643,4.26508658824216,0.000966546597231411,0.0419239586549125,0.0358639658446392,"AT1G32450/AT1G77990/AT1G80830/AT3G12520/AT4G10380/AT4G21680/AT5G13550/AT5G51050",8
"GO:0005342","organic acid transmembrane transporter activity","6/424","78/26761",0.0769230769230769,4.8550435413643,4.32615516229504,0.00150022401866897,0.049193806449564,0.0420829771538815,"AT1G08230/AT1G58360/AT1G69850/AT2G38550/AT3G56200/AT5G40670",6
"GO:0046943","carboxylic acid transmembrane transporter activity","6/424","78/26761",0.0769230769230769,4.8550435413643,4.32615516229504,0.00150022401866897,0.049193806449564,0.0420829771538815,"AT1G08230/AT1G58360/AT1G69850/AT2G38550/AT3G56200/AT5G40670",6
"GO:0061980","regulatory RNA binding","3/424","15/26761",0.2,12.6231132075472,5.71322737110269,0.00155945784134064,0.049193806449564,0.0420829771538815,"AT2G21660/AT2G28350/AT4G30080",3
