"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006979","response to oxidative stress","94/1142","464/21384",0.202586206896552,3.79343559393683,14.4496548161268,0.00000000000000000000000000000804657709895207,0.0000000000000000000000000131963864422814,0.0000000000000000000000000111635669646514,"AT1G03850/AT1G05240/AT1G05250/AT1G05260/AT1G07380/AT1G07400/AT1G14540/AT1G14550/AT1G14870/AT1G15520/AT1G30850/AT1G30870/AT1G31770/AT1G34510/AT1G35720/AT1G35910/AT1G44970/AT1G45145/AT1G49570/AT1G56600/AT1G60470/AT1G63460/AT1G72060/AT1G73260/AT1G75280/AT1G77120/AT1G80130/AT2G17420/AT2G18980/AT2G24550/AT2G26150/AT2G34910/AT2G37040/AT2G38380/AT2G38390/AT2G39040/AT2G44240/AT3G01190/AT3G01420/AT3G03190/AT3G04120/AT3G10930/AT3G13610/AT3G17790/AT3G21770/AT3G25250/AT3G46230/AT3G46930/AT3G49120/AT3G49960/AT4G00860/AT4G04810/AT4G04830/AT4G08780/AT4G11290/AT4G11600/AT4G21830/AT4G21840/AT4G23100/AT4G23150/AT4G23810/AT4G26010/AT4G30170/AT4G37520/AT5G01820/AT5G05300/AT5G05340/AT5G06720/AT5G06730/AT5G07460/AT5G12030/AT5G14130/AT5G15180/AT5G17000/AT5G17820/AT5G19790/AT5G19880/AT5G19890/AT5G22410/AT5G24110/AT5G37670/AT5G38000/AT5G42180/AT5G42380/AT5G42980/AT5G44380/AT5G57345/AT5G58070/AT5G58390/AT5G58940/AT5G59820/AT5G64100/AT5G66390/AT5G67400",94
"GO:0019748","secondary metabolic process","60/1142","255/21384",0.235294117647059,4.40589265478521,12.9957765153391,0.0000000000000000000000704677446524816,0.0000000000000000000577835506150349,0.0000000000000000000488823618168267,"AT1G02920/AT1G05250/AT1G17180/AT1G18400/AT1G27130/AT1G27140/AT1G33800/AT1G49860/AT1G52340/AT1G61590/AT1G64160/AT1G65690/AT1G66270/AT1G67980/AT1G69930/AT1G74590/AT1G78340/AT1G78370/AT1G80820/AT2G23010/AT2G29460/AT2G29470/AT2G30770/AT2G30860/AT2G37040/AT2G43000/AT3G03190/AT3G09270/AT3G11430/AT3G12230/AT3G13610/AT3G16340/AT3G21230/AT3G21240/AT3G21560/AT3G26830/AT3G27190/AT3G53480/AT3G53510/AT4G01070/AT4G12350/AT4G13660/AT4G23100/AT4G30530/AT4G33790/AT4G34230/AT4G36220/AT4G37970/AT4G37990/AT4G39950/AT5G05340/AT5G13580/AT5G23190/AT5G36180/AT5G45580/AT5G58860/AT5G62480/AT5G63560/AT5G66390/AT5G66690",60
"GO:0036294","cellular response to decreased oxygen levels","53/1142","243/21384",0.218106995884774,4.08406304728546,11.4842934473093,0.000000000000000000889358577217662,0.000000000000000364637016659241,0.00000000000000030846700125602,"AT1G02360/AT1G07400/AT1G07870/AT1G09070/AT1G14200/AT1G14540/AT1G14550/AT1G26380/AT1G26410/AT1G33055/AT1G57630/AT1G65490/AT1G66880/AT1G68620/AT1G73010/AT1G77120/AT2G13790/AT2G14247/AT2G16060/AT2G22500/AT2G26150/AT2G26560/AT2G32210/AT2G33590/AT2G41010/AT2G47520/AT3G02550/AT3G03270/AT3G08720/AT3G10040/AT3G25250/AT3G46080/AT3G46230/AT3G49780/AT3G50440/AT3G55790/AT3G62410/AT4G10265/AT4G24110/AT4G31970/AT5G12030/AT5G19550/AT5G20150/AT5G27420/AT5G37670/AT5G42380/AT5G47910/AT5G57220/AT5G58070/AT5G58120/AT5G59820/AT5G63130/AT5G64905",53
"GO:0071453","cellular response to oxygen levels","53/1142","243/21384",0.218106995884774,4.08406304728546,11.4842934473093,0.000000000000000000889358577217662,0.000000000000000364637016659241,0.00000000000000030846700125602,"AT1G02360/AT1G07400/AT1G07870/AT1G09070/AT1G14200/AT1G14540/AT1G14550/AT1G26380/AT1G26410/AT1G33055/AT1G57630/AT1G65490/AT1G66880/AT1G68620/AT1G73010/AT1G77120/AT2G13790/AT2G14247/AT2G16060/AT2G22500/AT2G26150/AT2G26560/AT2G32210/AT2G33590/AT2G41010/AT2G47520/AT3G02550/AT3G03270/AT3G08720/AT3G10040/AT3G25250/AT3G46080/AT3G46230/AT3G49780/AT3G50440/AT3G55790/AT3G62410/AT4G10265/AT4G24110/AT4G31970/AT5G12030/AT5G19550/AT5G20150/AT5G27420/AT5G37670/AT5G42380/AT5G47910/AT5G57220/AT5G58070/AT5G58120/AT5G59820/AT5G63130/AT5G64905",53
"GO:0071456","cellular response to hypoxia","52/1142","241/21384",0.215767634854772,4.04025840957482,11.2739570118359,0.00000000000000000312493300715456,0.0000000000000010249780263467,0.000000000000000867086674406256,"AT1G02360/AT1G07400/AT1G07870/AT1G09070/AT1G14200/AT1G14540/AT1G14550/AT1G26380/AT1G26410/AT1G33055/AT1G57630/AT1G65490/AT1G66880/AT1G68620/AT1G73010/AT1G77120/AT2G13790/AT2G14247/AT2G16060/AT2G22500/AT2G26150/AT2G26560/AT2G32210/AT2G33590/AT2G41010/AT2G47520/AT3G02550/AT3G03270/AT3G08720/AT3G10040/AT3G25250/AT3G46080/AT3G46230/AT3G49780/AT3G50440/AT3G55790/AT4G10265/AT4G24110/AT4G31970/AT5G12030/AT5G19550/AT5G20150/AT5G27420/AT5G37670/AT5G42380/AT5G47910/AT5G57220/AT5G58070/AT5G58120/AT5G59820/AT5G63130/AT5G64905",52
"GO:0036293","response to decreased oxygen levels","54/1142","275/21384",0.196363636363636,3.6769176882662,10.6122676337274,0.000000000000000057255862609771,0.0000000000000156499357800041,0.0000000000000132391626174874,"AT1G02360/AT1G07400/AT1G07870/AT1G09070/AT1G14200/AT1G14540/AT1G14550/AT1G26380/AT1G26410/AT1G33055/AT1G57630/AT1G65490/AT1G66880/AT1G68620/AT1G73010/AT1G77120/AT2G13790/AT2G14247/AT2G16060/AT2G22500/AT2G26150/AT2G26560/AT2G32210/AT2G33590/AT2G41010/AT2G47520/AT3G02550/AT3G03270/AT3G08720/AT3G10040/AT3G25250/AT3G46080/AT3G46230/AT3G49780/AT3G50440/AT3G55790/AT3G62410/AT4G10265/AT4G24110/AT4G31970/AT5G12030/AT5G19550/AT5G20150/AT5G25110/AT5G27420/AT5G37670/AT5G42380/AT5G47910/AT5G57220/AT5G58070/AT5G58120/AT5G59820/AT5G63130/AT5G64905",54
"GO:0070482","response to oxygen levels","54/1142","276/21384",0.195652173913043,3.663595522729,10.5788859279221,0.0000000000000000675991653706834,0.0000000000000158375187439887,0.0000000000000133978496178287,"AT1G02360/AT1G07400/AT1G07870/AT1G09070/AT1G14200/AT1G14540/AT1G14550/AT1G26380/AT1G26410/AT1G33055/AT1G57630/AT1G65490/AT1G66880/AT1G68620/AT1G73010/AT1G77120/AT2G13790/AT2G14247/AT2G16060/AT2G22500/AT2G26150/AT2G26560/AT2G32210/AT2G33590/AT2G41010/AT2G47520/AT3G02550/AT3G03270/AT3G08720/AT3G10040/AT3G25250/AT3G46080/AT3G46230/AT3G49780/AT3G50440/AT3G55790/AT3G62410/AT4G10265/AT4G24110/AT4G31970/AT5G12030/AT5G19550/AT5G20150/AT5G25110/AT5G27420/AT5G37670/AT5G42380/AT5G47910/AT5G57220/AT5G58070/AT5G58120/AT5G59820/AT5G63130/AT5G64905",54
"GO:0001666","response to hypoxia","53/1142","271/21384",0.195571955719557,3.66209343354379,10.4754726046904,0.000000000000000133893487759995,0.000000000000027448164990799,0.0000000000000232199495878518,"AT1G02360/AT1G07400/AT1G07870/AT1G09070/AT1G14200/AT1G14540/AT1G14550/AT1G26380/AT1G26410/AT1G33055/AT1G57630/AT1G65490/AT1G66880/AT1G68620/AT1G73010/AT1G77120/AT2G13790/AT2G14247/AT2G16060/AT2G22500/AT2G26150/AT2G26560/AT2G32210/AT2G33590/AT2G41010/AT2G47520/AT3G02550/AT3G03270/AT3G08720/AT3G10040/AT3G25250/AT3G46080/AT3G46230/AT3G49780/AT3G50440/AT3G55790/AT4G10265/AT4G24110/AT4G31970/AT5G12030/AT5G19550/AT5G20150/AT5G25110/AT5G27420/AT5G37670/AT5G42380/AT5G47910/AT5G57220/AT5G58070/AT5G58120/AT5G59820/AT5G63130/AT5G64905",53
"GO:0006790","sulfur compound metabolic process","63/1142","390/21384",0.161538461538462,3.02481476491984,9.58540938079085,0.00000000000000291618235765865,0.000000000000531393229617798,0.000000000000449535479227379,"AT1G02920/AT1G04770/AT1G12160/AT1G13420/AT1G13430/AT1G17180/AT1G18590/AT1G24100/AT1G27130/AT1G27140/AT1G44790/AT1G48420/AT1G48605/AT1G49860/AT1G51470/AT1G62560/AT1G65860/AT1G66270/AT1G66280/AT1G67810/AT1G69930/AT1G74090/AT1G74590/AT1G76790/AT1G78340/AT1G78370/AT2G14750/AT2G29460/AT2G29470/AT2G30770/AT2G30860/AT2G43000/AT3G01640/AT3G03190/AT3G09260/AT3G09270/AT3G16410/AT3G16990/AT3G26830/AT3G45070/AT3G45080/AT3G59760/AT3G60140/AT4G04610/AT4G13770/AT4G14716/AT4G21990/AT4G23100/AT4G30530/AT4G33790/AT4G37400/AT4G37410/AT4G39940/AT4G39950/AT5G07690/AT5G23010/AT5G39950/AT5G54390/AT5G57220/AT5G60890/AT5G62480/AT5G64000/AT5G67520",63
"GO:0009698","phenylpropanoid metabolic process","34/1142","137/21384",0.248175182481752,4.6470911577844,10.171822025312,0.0000000000000284497301902794,0.00000000000466575575120582,0.00000000000394702572534613,"AT1G05250/AT1G18400/AT1G33800/AT1G61590/AT1G64160/AT1G66270/AT1G67980/AT1G80820/AT2G37040/AT3G11430/AT3G13610/AT3G16340/AT3G21230/AT3G21240/AT3G21560/AT3G27190/AT3G53480/AT3G53510/AT4G01070/AT4G12350/AT4G13660/AT4G33790/AT4G34230/AT4G36220/AT4G37970/AT4G37990/AT5G05340/AT5G13580/AT5G23190/AT5G45580/AT5G58860/AT5G63560/AT5G66390/AT5G66690",34
