"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009225","nucleotide-sugar metabolic process","13/705","53/21384",0.245283018867925,7.43990365315134,8.66713990051134,0.0000000121480461846941,0.0000189873961866769,0.0000163806812237823,"AT1G53500/AT1G63000/AT1G78570/AT3G02230/AT3G02570/AT3G03250/AT3G24090/AT3G51160/AT5G15490/AT5G15650/AT5G15770/AT5G39320/AT5G44480",13
"GO:0071555","cell wall organization","33/705","360/21384",0.0916666666666667,2.78042553191489,6.29044688893188,0.000000133576666244461,0.000104390164670047,0.0000900587944521868,"AT1G20190/AT1G26770/AT1G30230/AT2G03090/AT2G18950/AT2G28950/AT2G34070/AT2G35610/AT2G37640/AT2G41850/AT2G43150/AT2G45220/AT3G03220/AT3G03250/AT3G07330/AT3G14310/AT3G21190/AT3G25140/AT3G29030/AT3G49220/AT4G12390/AT4G17030/AT4G26850/AT4G31590/AT4G33220/AT4G36360/AT4G36890/AT4G37450/AT5G15470/AT5G15490/AT5G53370/AT5G61130/AT5G65810",33
"GO:0045229","external encapsulating structure organization","35/705","423/21384",0.08274231678487,2.50973291081938,5.79066467966964,0.000000655384930588046,0.000341455548836372,0.000294578279327469,"AT1G20190/AT1G26770/AT1G30230/AT2G03090/AT2G18950/AT2G28950/AT2G34070/AT2G35610/AT2G37640/AT2G41850/AT2G43150/AT2G45220/AT3G03220/AT3G03250/AT3G07330/AT3G14310/AT3G21190/AT3G24090/AT3G25140/AT3G29030/AT3G49220/AT4G12390/AT4G17030/AT4G26850/AT4G31590/AT4G33220/AT4G36360/AT4G36890/AT4G37450/AT5G15470/AT5G15490/AT5G44480/AT5G53370/AT5G61130/AT5G65810",35
"GO:0009226","nucleotide-sugar biosynthetic process","10/705","43/21384",0.232558139534884,7.05393369619,7.3371705619577,0.00000101927399738699,0.000398281314478968,0.000343602629119142,"AT1G53500/AT1G63000/AT1G78570/AT3G02570/AT3G24090/AT3G51160/AT5G15490/AT5G15770/AT5G39320/AT5G44480",10
"GO:0006457","protein folding","21/705","190/21384",0.110526315789474,3.35247480403136,6.01394464015658,0.00000134592739009765,0.000413277680032589,0.000356540194714447,"AT1G09210/AT1G14980/AT1G44160/AT2G19310/AT2G22360/AT2G33210/AT2G38730/AT3G25230/AT3G54960/AT4G34960/AT4G38740/AT4G39960/AT5G22060/AT5G28540/AT5G42020/AT5G45420/AT5G48580/AT5G56000/AT5G56010/AT5G58710/AT5G61790",21
"GO:0051604","protein maturation","28/705","310/21384",0.0903225806451613,2.73965682910089,5.69685355084728,0.00000158647861816733,0.000413277680032589,0.000356540194714447,"AT1G09210/AT1G14980/AT1G26220/AT1G44160/AT1G52600/AT2G19310/AT2G22360/AT2G22425/AT2G33210/AT2G38730/AT3G05230/AT3G25230/AT3G54960/AT4G01940/AT4G30500/AT4G32940/AT4G34960/AT4G38740/AT4G39960/AT5G22060/AT5G28540/AT5G42020/AT5G45420/AT5G48580/AT5G56000/AT5G56010/AT5G58710/AT5G61790",28
"GO:0006790","sulfur compound metabolic process","31/705","390/21384",0.0794871794871795,2.41099836333879,5.19248591255856,0.00000645033220170437,0.0014402670330377,0.00124253767674937,"AT1G04770/AT1G12160/AT1G19920/AT1G27130/AT1G36370/AT1G44790/AT1G48605/AT1G59700/AT1G72810/AT2G17340/AT2G26400/AT2G44460/AT3G01120/AT3G04070/AT3G09260/AT3G09270/AT3G13110/AT3G14210/AT3G17390/AT3G23810/AT3G60140/AT4G02680/AT4G04610/AT4G21990/AT4G33790/AT4G34200/AT4G35640/AT4G37410/AT5G26220/AT5G48850/AT5G61420",31
"GO:0009664","plant-type cell wall organization","22/705","230/21384",0.0956521739130435,2.90131359851989,5.35285565327132,0.00000828740638001241,0.00154941602283145,0.0013367019734297,"AT1G20190/AT1G26770/AT1G30230/AT2G03090/AT2G28950/AT2G34070/AT2G35610/AT2G37640/AT2G41850/AT2G43150/AT3G03220/AT3G21190/AT3G25140/AT3G29030/AT4G12390/AT4G17030/AT4G36360/AT4G36890/AT4G37450/AT5G15470/AT5G15490/AT5G65810",22
"GO:0031667","response to nutrient levels","25/705","284/21384",0.0880281690140845,2.67006293077615,5.23136338823313,0.00000892178132148627,0.00154941602283145,0.0013367019734297,"AT1G04770/AT1G18910/AT1G19920/AT1G30270/AT1G43910/AT1G73010/AT1G74020/AT2G19590/AT2G44670/AT2G47190/AT3G02570/AT3G03250/AT3G05630/AT3G08860/AT3G16770/AT3G26840/AT3G49580/AT3G54470/AT4G37870/AT5G20150/AT5G20700/AT5G24660/AT5G48850/AT5G61420/AT5G65810",25
"GO:0009267","cellular response to starvation","18/705","172/21384",0.104651162790698,3.1742701632855,5.28629055952391,0.0000161193578153077,0.00249869912680378,0.00215566123274111,"AT1G04770/AT1G18910/AT1G19920/AT1G43910/AT1G73010/AT1G74020/AT2G19590/AT2G47190/AT3G03250/AT3G05630/AT3G26840/AT3G49580/AT3G54470/AT4G37870/AT5G20150/AT5G24660/AT5G48850/AT5G61420",18
