"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","abiotic_stress_related_genes","gene_name","remarks","references"
"AT1G01470",2654.03556014596,0.616307385627836,0.126095845881167,0.000000671469498759393,0.00000435998277105236,"salinity_stress","LEA14","AtLEA14 responses to salt stress by stabilizing AtPP2-B11, an E3 ligase, under normal or salt stress conditions.","Jia et al., 2014 _ Overexpression of Late Embryogenesis Abundant 14 enhances Arabidopsis salt stress tolerance. Biochemical and biophysical research communications, 454(4), 505-511."
"AT1G01790",4032.94137961803,-0.34811044382187,0.145878135452693,0.0146564628616748,0.0368881279311373,"drought_stress","PLGG1","Encodes a plant LrgAB/CidAB protein localized to the chloroplast envelope that is involved in chloroplast development, carbon partitioning, ABA/drought response, and leaf senescence. The gene may have evolved from gene fusion of bacterial lrgA and lrgB.","Dong et al., 2018 _ Chloroplast protein PLGG1 is involved in abscisic acid-regulated lateral root development and stomatal movement in Arabidopsis. Biochemical and Biophysical Research Communications, 495(1), 280-285."
"AT1G02260",1412.05693275736,-0.300038428105637,0.115302654168685,0.00831514053390016,0.0226014976111338,"nutrient_stress","CIPK23","CIPK23 and AtKC1 are both involved in the AKT1-mediated low-K+ (LK) response",NA
"AT1G07430",64.6793459800711,2.1152990230971,0.556163497020228,0.000014968446793463,0.000077333473357444,"nutrient_stress","AKT1","AtKC1D showed enhanced inhibition of AKT1 activity and strongly reduced K+ leakage through AKT1 under LK conditions",NA
"AT1G49780",346.226966131347,-0.563769708228176,0.177972742678153,0.00107443410617111,0.00372080574536274,"cold_freezing_stress","PUB25","This study unravels a mechanism by which PUB25 and PUB26 add different polyubiquitin chains to ICE1 and MYB15 to modulate their stability, thereby regulating the timing and degree of cold stress responses in plants.","Wang et al., 2023 _ PUB25 and PUB26 dynamically modulate ICE1 stability via differential ubiquitination during cold stress in Arabidopsis. The Plant Cell, 35(9), 3585-3603."
"AT1G69410",4043.59775070476,0.595255893620238,0.168907364818435,0.000292636484364581,0.00114883117776222,"nutrient_stress","eIF5A3","The PdeIF5A3 over-expressing plants also exhibited enhanced fitness when exposed to osmotic and nutrient (N, P and K) stress. The spatial localization of AteIF5A3 was visualized by confocal microscopy using transgenic plants expressing PAteIF5A3:GFP-AteIF5A3. GFP fluorescence reflecting expression of AteIF5A3 was detectable in the phloem, particularly companion cells, of roots, stems and leaves, in the epidermal cells of the root tip, in the columella cells of the root cap and in the chalazal tissue of fertilized ovules, which all play a pivotal role in nutrient or hormone translocation.","Ma et al., 2010 _ Arabidopsis eIF5A3 influences growth and the response to osmotic and nutrient stress. Plant, cell & environment, 33(10), 1682-1696."
"AT1G78830",24812.8685031447,0.773849048899513,0.18398147646798,0.0000148395039132406,0.0000767134466943507,"nutrient_stress","MNB1","MNB1 gene negatively controls the Fe-deficiency response in Arabidopsis via modulating reactive oxygen species (ROS) levels and the ROS-mediated signaling pathway, thereby affecting the expression of Fe uptake- and translocation-related genes.","Song et al., 2022 _ MNB1 gene is involved in regulating the iron-deficiency stress response in Arabidopsis thaliana. BMC Plant Biology, 22(1), 151."
"AT2G01900",49.0176439457904,1.57956193413583,0.423041744634693,0.0000340984946077398,0.000163116916741258,"salinity_stress","5PTase9","The At5ptase9 mutants showed reduced ROS production and Ca2+ influx, as well as decreased fluid-phase endocytosis. Inhibition of endocytosis by phenylarsine oxide or Tyrphostin A23 in wild-type plants blocked these responses. Induction of salt-responsive genes in wild-type plants was also suppressed by the endocytosis inhibitors.","Golani et al ., 2016 _ Inositol polyphosphate phosphatidylinositol 5-phosphatase9 (At5ptase9) controls plant salt tolerance by regulating endocytosis."" Molecular plant 6, no. 6 (2013): 1781-1794."
"AT2G16700",35.8331955753321,1.94583603310338,0.455845088646189,0.00000283761684612164,0.00001660485987743,"cold_freezing_stress","ADF5","An ADF that evolved F-actin bundling function, was up-regulated at low temperatures. We also demonstrated that CBFs bound to the ADF5 promoter directly in vivo and in vitro. The cold-induced expression of ADF5 was significantly inhibited in the cbfs triple mutant.","Zhang ET AL., 2021 _ Arabidopsis ADF5 acts as a downstream target gene of CBFs in response to low-temperature stress. Frontiers in Cell and Developmental Biology, 9, 635533."
"AT2G38170",84.6372862976878,0.829012838058256,0.255453140672069,0.000614756774004009,0.00224637757512598,"heavy_metal","CAX1","CAX1 loss of function in A. thaliana led to higher Cd sensitivity at low concentration of Ca, higher sensitivity to methylviologen, and stronger accumulation of reactive oxygen species after Cd treatment.","Baliardin et al., 2015 _ CATION EXCHANGER1 cosegregates with cadmium tolerance in the metal hyperaccumulator Arabidopsis halleri and plays a role in limiting oxidative stress in Arabidopsis Spp. Plant Physiology, 169(1), 549-559."
"AT2G42540",406.885274273607,4.83665786795802,0.70161557970195,0.000000000000279671241276538,0.00000000000454907167392046,"cold_freezing_stress","COR15A","The mature polypeptide encoded by this gene, COR15am, increases the lamellar-to-hexagonal II phase transition temperature of dioleoylphosphatidylethanolamine and promotes formation of the lamellar phase in a lipid mixture composed of the major lipid species that comprise the chloroplast envelope.","Steponkus et al., 1998 _  Mode of action of the COR15a gene on the freezing tolerance of Arabidopsis thaliana. Proceedings of the National Academy of Sciences, 95(24), 14570-14575."
"AT3G10500",1169.31546204762,1.31588594288586,0.135254494730198,0.0000000000000000000000636404737000167,0.000000000000000000002836845683185,"drought_stress","NTL4","Encodes a transcriptional activator that is associated with the plasma membrane in a dormant form and is proteolytically cleaved to create a form that can enter the nucleus. It is thought to promote ROS production by binding directly to the promoters of genes encoding ROS biosynthetic enzymes during drought-induced leaf senescence. The mRNA is cell-to-cell mobile.","Lee et al., 2012 _  A NAC transcription factor NTL4 promotes reactive oxygen species production during drought‐induced leaf senescence in Arabidopsis. The Plant Journal, 70(5), 831-844."
"AT3G19290",75.779999862689,-1.08448887913584,0.306543543656288,0.000131848550975787,0.000559373936422056,"drought_stress","AREB2","bZIP transcription factor with specificity for abscisic acid-responsive elements (ABRE). Mediates ABA-dependent stress responses.ABF4 acts through SnRK2 pathway and binds to ABA response elements of the promoters of NYE1 and regulates their expression to promote chlorophyll degradation.",NA
"AT3G25910",4386.74768348394,-1.045769930703,0.125738041903288,0.0000000000000000320074168116902,0.000000000000000843221977661757,"salinity_stress","ZFP1","Overexpression of AtZFP1 also enhanced oxidative and osmotic stress tolerance which was determined by measuring the expression of a set of antioxidant genes, osmotic stress genes and ion transport protein genes such as SOS1, AtP5CS1 and AtGSTU5.","Han et al., 2014 _ The CCCH zinc finger protein gene AtZFP1 improves salt resistance in Arabidopsis thaliana. Plant molecular biology, 86, 237-253."
"AT3G48590",1262.61378041814,-0.737917801616095,0.104512630063561,0.000000000000963629646485442,0.0000000000145960716294518,"cold_freezing_stress","HAP5A","Notably, the modulated freezing resistance of AtHAP5A overexpressing plants and knockout mutant could be reversed by the xth21 mutant and AtXTH21 overexpressing plants, respectively, indicating that AtHAP5A might act upstream of AtXTH21 in freezing stress. Additionally, modulation of AtHAP5A and AtXTH21 expression had the same effects on abscisic acid (ABA) sensitivity and reactive oxygen species (ROS) metabolism.","Shi et al., 2014 _ At HAP 5A modulates freezing stress resistance in Arabidopsis through binding to CCAAT motif of AtXTH21. New Phytologist, 203(2), 554-567."
"AT3G50260",269.873862855115,1.04201041948854,0.168093903668742,0.000000000216298425557761,0.00000000237854414617828,"cold_freezing_stress","DEAR1","In addition, transient expression experiments revealed that the DEAR1 protein represses DRE/CRT (dehydration-responsive element/C-repeat)-dependent transcription, which is regulated by low temperature. Furthermore, the induction of DREB1/CBF family genes by cold treatment was suppressed in DEAR1ox, leading to a reduction in freezing tolerance. These results suggest that DEAR1 has an upstream regulatory role in mediating crosstalk between signaling pathways for biotic and abiotic stress responses.","Tsutsui et al., 2009 _ DEAR1, a transcriptional repressor of DREB protein that mediates plant defense and freezing stress responses in Arabidopsis. Journal of plant research, 122, 633-643."
"AT3G51860",1536.22249436495,0.991895916459226,0.417351038820207,0.00591611615128822,0.0168206502579939,"heavy_metal","CAX3","The expression of Δ90-AtCAX3 (deletion of autoinhibitory domain) increased Cd and Ca tolerance in yeast, while AtCAX3 expression did not. Interestingly, less accumulation of ROS (H2O2 and O2−) was observed in CAX3-expressing transgenic plants and was accompanied with higher antioxidant enzyme activities (SOD, CAT, GR).","Modareszadeh et al., 2021 _ CAX3 (cation/proton exchanger) mediates a Cd tolerance by decreasing ROS through Ca elevation in Arabidopsis. Plant Molecular Biology, 105, 115-132."
"AT3G51960",28.937518565886,0.948887989147508,0.437524488755011,0.0111535000728759,0.0291007523420403,"salinity_stress","BZIP24","Transcriptional repression of AtbZIP24 using RNA interference improved salt tolerance in A. thaliana. Under non-stress growth conditions, transgenic A. thaliana lines with decreased AtbZIP24 expression activated the expression of stress-inducible genes involved in cytoplasmic ion homeostasis and osmotic adjustment: the Na+ transporter AtHKT1, the Na+/H+ antiporter AtSOS1, the aquaporin AtPIP2.1, and a glutamine synthetase.","Yang et al., 2009 _  The Arabidopsis basic leucine zipper transcription factor AtbZIP24 regulates complex transcriptional networks involved in abiotic stress resistance. Gene, 436(1-2), 45-55."
"AT4G23450",45.4727810255075,0.790090261557253,0.354573963441121,0.0129159188020818,0.0330235832029015,"drought_stress","AIRP1","AtAIRP1 gene encodes a C3H2C3-type RING E3 Ub ligase. It has been shown to be a positive regulator in the Arabidopsis ABA-dependent drought response.","Oh et al., 2020 _ AtKPNB1, an Arabidopsis importin-β protein, is downstream of the RING E3 ubiquitin ligase AtAIRP1 in the ABA-mediated drought stress response"
"AT4G33730",23.0408352154182,7.12989554861737,2.45213995334723,0.000000712394183113814,0.00000461060942675896,"salinity_stress","CAPE1","The salt-induced AtCAPE1 negatively regulated salt tolerance by suppressing several salt-tolerance genes functioning in the production of osmolytes, detoxification, stomatal closure control, and cell membrane protection.","Chien et al., 2015 _ A salt-regulated peptide derived from the CAP superfamily protein negatively regulates salt-stress tolerance in Arabidopsis. Journal of experimental botany, 66(17), 5301-5313."
