"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","abiotic_stress_related_genes","gene_name","remarks","references"
"AT1G02260",1246.06449863278,-0.379610585730401,0.0861970836204907,0.00000925920231927615,0.0000384759488054474,"nutrient_stress","CIPK23","CIPK23 and AtKC1 are both involved in the AKT1-mediated low-K+ (LK) response",NA
"AT1G06390",457.28351467272,-0.420521936307363,0.157608740169274,0.00640622480610958,0.0157612839388917,"salinity_stress","GSK1","Transgenic plants accumulated 30–50% more Na+ than did wild-type plants when subjected to NaCl stress, and Ca2+ content was increased by 15–30% in the transgenic plants regardless of the NaCl stress level. Northern blotting revealed that AtGSK1 over-expression induced expression of the NaCl stress-responsive genes AtCP1, RD29A and CHS1 in the absence of NaCl stress.","Piao et al., 2001 _ Constitutive over‐expression of AtGSK1 induces NaCl stress responses in the absence of NaCl stress and results in enhanced NaCl tolerance in Arabidopsis. The Plant Journal, 27(4), 305-314."
"AT1G06390",2.33770994424007,3.8469111201557,2.49521827133868,0.00216338598718289,0.00593360506396215,"salinity_stress","GSK1","Transgenic plants accumulated 30–50% more Na+ than did wild-type plants when subjected to NaCl stress, and Ca2+ content was increased by 15–30% in the transgenic plants regardless of the NaCl stress level. Northern blotting revealed that AtGSK1 over-expression induced expression of the NaCl stress-responsive genes AtCP1, RD29A and CHS1 in the absence of NaCl stress.","Piao et al., 2001 _ Constitutive over‐expression of AtGSK1 induces NaCl stress responses in the absence of NaCl stress and results in enhanced NaCl tolerance in Arabidopsis. The Plant Journal, 27(4), 305-314."
"AT1G07890",45.4736637455683,1.08383125269965,0.3638610037552,0.00103925408485377,0.00304555775490536,"heavy_metal","APX1","KO-APX1 mutants apx1-3 and apx1-4 showed more resistant than wild type, and the APX1-complementary COM1 restored the growth state of wild type in Pb stress. The two KO-APX1 mutants showed reduced Pb accumulation, which was accompanied by the activation of metal transporters PDR12 and ATM3 genes expression.","Jiang et al., 2017 _ A role for APX1 gene in lead tolerance in Arabidopsis thaliana. Plant Science, 256, 94-102."
"AT1G69410",3146.20625942366,0.609265706168671,0.117569874321065,0.000000178927125422617,0.000000939205271524641,"nutrient_stress","eIF5A3","The PdeIF5A3 over-expressing plants also exhibited enhanced fitness when exposed to osmotic and nutrient (N, P and K) stress. The spatial localization of AteIF5A3 was visualized by confocal microscopy using transgenic plants expressing PAteIF5A3:GFP-AteIF5A3. GFP fluorescence reflecting expression of AteIF5A3 was detectable in the phloem, particularly companion cells, of roots, stems and leaves, in the epidermal cells of the root tip, in the columella cells of the root cap and in the chalazal tissue of fertilized ovules, which all play a pivotal role in nutrient or hormone translocation.","Ma et al., 2010 _ Arabidopsis eIF5A3 influences growth and the response to osmotic and nutrient stress. Plant, cell & environment, 33(10), 1682-1696."
"AT1G78830",23941.790384625,0.373274553808913,0.117094358220923,0.00126836252475535,0.00365249734122821,"nutrient_stress","MNB1","MNB1 gene negatively controls the Fe-deficiency response in Arabidopsis via modulating reactive oxygen species (ROS) levels and the ROS-mediated signaling pathway, thereby affecting the expression of Fe uptake- and translocation-related genes.","Song et al., 2022 _ MNB1 gene is involved in regulating the iron-deficiency stress response in Arabidopsis thaliana. BMC Plant Biology, 22(1), 151."
"AT2G16700",33.639692190717,1.74716503304454,0.596844744643198,0.000496264699694381,0.00155221165429967,"cold_freezing_stress","ADF5","An ADF that evolved F-actin bundling function, was up-regulated at low temperatures. We also demonstrated that CBFs bound to the ADF5 promoter directly in vivo and in vitro. The cold-induced expression of ADF5 was significantly inhibited in the cbfs triple mutant.","Zhang ET AL., 2021 _ Arabidopsis ADF5 acts as a downstream target gene of CBFs in response to low-temperature stress. Frontiers in Cell and Developmental Biology, 9, 635533."
"AT2G16700",37.7485992221734,1.73670883470626,0.400589908955985,0.00000251270915097435,0.000011292894730767,"cold_freezing_stress","ADF5","An ADF that evolved F-actin bundling function, was up-regulated at low temperatures. We also demonstrated that CBFs bound to the ADF5 promoter directly in vivo and in vitro. The cold-induced expression of ADF5 was significantly inhibited in the cbfs triple mutant.","Zhang ET AL., 2021 _ Arabidopsis ADF5 acts as a downstream target gene of CBFs in response to low-temperature stress. Frontiers in Cell and Developmental Biology, 9, 635533."
"AT2G38170",129.035321598789,0.733388825170425,0.347958910146768,0.0196776643228725,0.042507472934807,"heavy_metal","CAX1","CAX1 loss of function in A. thaliana led to higher Cd sensitivity at low concentration of Ca, higher sensitivity to methylviologen, and stronger accumulation of reactive oxygen species after Cd treatment.","Baliardin et al., 2015 _ CATION EXCHANGER1 cosegregates with cadmium tolerance in the metal hyperaccumulator Arabidopsis halleri and plays a role in limiting oxidative stress in Arabidopsis Spp. Plant Physiology, 169(1), 549-559."
"AT2G38170",91.83864962013,1.13897125120161,0.24085108039244,0.000000815422468710587,0.00000392677212116735,"heavy_metal","CAX1","CAX1 loss of function in A. thaliana led to higher Cd sensitivity at low concentration of Ca, higher sensitivity to methylviologen, and stronger accumulation of reactive oxygen species after Cd treatment.","Baliardin et al., 2015 _ CATION EXCHANGER1 cosegregates with cadmium tolerance in the metal hyperaccumulator Arabidopsis halleri and plays a role in limiting oxidative stress in Arabidopsis Spp. Plant Physiology, 169(1), 549-559."
