"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT1G02660",5221.31869701572,-0.438058090303495,0.140751367892284,0.00018474497584896,0.00671126877339547,NA,"TAG Degradation",NA,NA,"Lipid Acylhydrolase-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G06360",738.88970760438,0.980667585253386,0.240931170713309,0.00000238607852297001,0.00021240398095015,NA,"Plastidial Fatty Acid Synthesis",NA,NA,"Acyl-CoA Desaturase-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G09430",12493.168286744,-0.326196558617206,0.131465261920898,0.00207301203633704,0.0411179784132424,"ACLA-3","Cuticular Wax Synthesis","ATP Citrate Lyase A subunit","ATP-CL-&alpha;","ATP Citrate Lyase A subunit","4.1.3.8","164",202,34,524,7.03332389,3.72619395,"targetP, RC4","Biochemical assay, Sequence similarity to Hs ACL",NA,NA,"Fatland et al 2002;http://www.plantphysiol.org/cgi/content/full/130/2/740",NA,NA
"AT1G20950",919.471327546458,0.889846756272939,0.216913699585785,0.00000224154308351846,0.000204135365974617,NA,"Glycolysis","PPi-dependent phosphofructokinase","PFP",NA,"2.7.1.90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mustroph et al 2015;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T36-4NM6DP9-1&_user=1111158&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000051676&_version=1&_urlVersion=0&_userid=1111158&md5=a7f44ec79e9a1bd2b7fc7b901e565c81",NA,NA
"AT1G45201",189.598747165209,1.27123883772325,0.250998101989503,0.0000000202286139380258,0.00000306580319746982,NA,"TAG Degradation","Triacylglycerol lipase (TAGL)","TAGL","Triacylglycerol lipase (TAGL)","3.1.1.3","84",111,95,631,NA,NA,NA,"Sequence homology ONLY (to castor bean acid lipase BLAST score>100)",NA,NA,NA,NA,NA
"AT1G55260",201.596257882306,1.04020791123049,0.279110766579902,0.00000915514899464953,0.000629068164328419,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 5",NA,"162",193,124,589,15.5737886,6.12160434,"targetP, RC3","Sequence similarity",NA,NA,NA,NA,NA
"AT1G61800",156.384871404266,-3.87521573424455,0.458126562734369,0.00000000000000000147236856196823,0.00000000000000207835339440115,NA,"Plastid Transporters","Glc 6-P, TP transporter","GPT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G64670",519.878273102165,0.60081994459575,0.200293252202477,0.000179570429761298,0.00659604244041407,"BODYGUARD","Aliphatic Suberin Synthesis","Hydrolase-like Protein","Hydrolase ?","Hydrolase-like Protein (cell wall located)",NA,NA,228,146,333,2.00952111,2.79464546,"targetP,RC 1","Mutant characterization","bodyguard (bdg)","Function shown in cutin; proposed to be involved in cutin assembly. Belongs to the &alpha; , &beta;-hydrolase superfamily","Kurdyukov et al 2006;http://www.ncbi.nlm.nih.gov/pubmed/16415209?dopt=Abstract",NA,NA
"AT1G64670",519.878273102165,0.60081994459575,0.200293252202477,0.000179570429761298,0.00659604244041407,"BDG","Cutin Synthesis","Hydrolase-like Protein","Hydrolase ?","Hydrolase-like Protein",NA,NA,228,146,332,2.00952111,2.79464546,"targetP,RC 1","Mutant characterization","bodyguard (bdg)","Proposed to be involved in cutin assembly","Kurdyukov et al 2006;http://www.ncbi.nlm.nih.gov/pubmed/16415209?dopt=Abstract",NA,NA
"AT1G67730",1651.11451511361,0.438790438342553,0.199863884258506,0.00239672461206642,0.0454113823429113,"AtKCR1","Aliphatic Suberin Synthesis","Ketoacyl-CoA Reductase","KCR","Ketoacyl-CoA Reductase","1.1.1.35","148",178,157,599,20.4971153,3.59311559,"targetP, RC2","Mutant and transgenic RNAi lines phenotype; complementation of yeast mutant","atkcr1",NA,"Beaudoin et al 2009;http://www.ncbi.nlm.nih.gov/pubmed/19439572?ordinalpos=2&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum",NA,NA
