"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT1G01120",2204.6803001616,0.529957008535921,0.228067286119636,0.00175522411222285,0.0264362575644808,"KCS1","Aliphatic Suberin Synthesis","Ketoacyl-CoA Synthase","KCS","Ketoacyl-CoA Synthase","2.3.1.120","147",177,2,499,5.32523094,3.32695888,"targetP, RC2","Heterologous expression and mutant characterization (*)","kcs1-1","Chainlength specific reduction in waxes; increase in esterified diacids in roots; recombinant protein can act in elongation complexes producing C18-C22 fatty acids","Todd et al 1999;http://www.ncbi.nlm.nih.gov/pubmed/10074711?ordinalpos=4&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum","Trenkamp et al 2004;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=15277688","Blacklock et al 2006;http://www.ncbi.nlm.nih.gov/pubmed/16765910?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_RVBrief"
"AT1G01120",2204.6803001616,0.529957008535921,0.228067286119636,0.00175522411222285,0.0264362575644808,"KCS1","Fatty Acid Elongation & Cuticular Wax Synthesis","Ketoacyl-CoA Synthase","KCS","Ketoacyl-CoA Synthase","2.3.1.119","147",177,2,500,5.32523094,3.32695888,"targetP, RC2","Mutant characterization - wax components affected to varying degrees; heterologous expression in yeast and in vitro assays; upregulated by overexpression of WIN1/SHN1","kcs1-1",NA,"Todd et al 2002;http://www3.interscience.wiley.com/cgi-bin/fulltext/119095657/HTMLSTART","Blacklock et al 2006;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6WBK-4K4269V-7&_user=4799849&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000051236&_version=1&_urlVersion=0&_userid=4799849&md5=3aabc79b6efdcc4458fa2ff4c14bd12f","Trenkamp et al 2004;http://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=511072&tool=pmcentrez"
"AT1G01600",168.003929643687,0.879969054622616,0.439184811624424,0.00173876223720949,0.02623861592996,"CYP86A4","Cutin Synthesis","Fatty Acyl omega-Hydroxylase","FAH","Fatty Acyl omega-Hydroxylase (CYP86A)","1.14.13.*","199",279,4,363,2.31094928,0.53231342,"targetP, RC4","Heterologous protein expression and mutant characterization",NA,NA,NA,"Rupasinghe et al 2007;http://www.ncbi.nlm.nih.gov/pubmed/17427946?ordinalpos=4&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum",NA
"AT1G02660",2429.18627671092,-0.53376390844384,0.260420680785298,0.00288097636632187,0.0380436622732246,NA,"TAG Degradation",NA,NA,"Lipid Acylhydrolase-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G06100",15.2997929248707,0.106674773090298,0.239389277134366,0.0000414344849458742,0.00152514919169764,NA,"Plastidial Fatty Acid Synthesis",NA,NA,"Acyl-CoA Desaturase-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G22710",8447.35072715564,0.669349028648446,0.110815614400214,0.00000000012993809352789,0.0000000345621049872812,NA,"Transporters","sucrose transporter","SUC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Srivastava et al 2008;http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2528097/?tool=pubmed",NA,NA
"AT1G31770",800.511381166675,0.917470645165954,0.234326471286286,0.00000513803907884393,0.00027947468742341,"AtWBC14;AtABCG14","Cuticular Wax Synthesis","ABC Transporter","ABC","ABC Transporter",NA,NA,230,80,629,NA,NA,NA,"Sequence similarity to ABCG11 and ABCG12/CER5",NA,NA,NA,NA,NA
"AT1G45201",24.2681861047274,1.77901022718993,0.933170831786398,0.00220340814499785,0.0310171956600975,NA,"TAG Degradation","Triacylglycerol lipase (TAGL)","TAGL","Triacylglycerol lipase (TAGL)","3.1.1.3","84",111,95,631,NA,NA,NA,"Sequence homology ONLY (to castor bean acid lipase BLAST score>100)",NA,NA,NA,NA,NA
"AT1G45201",949.078928388674,0.524690758322502,0.172495232233296,0.000230134706270502,0.00583289064426962,NA,"TAG Degradation","Triacylglycerol lipase (TAGL)","TAGL","Triacylglycerol lipase (TAGL)","3.1.1.3","84",111,95,631,NA,NA,NA,"Sequence homology ONLY (to castor bean acid lipase BLAST score>100)",NA,NA,NA,NA,NA
"AT1G53270",23.0662011336974,2.29076221774968,0.887580851323602,0.000560885732835415,0.0114761108734414,"AtWBC10;AtABCG10","Cuticular Wax Synthesis","ABC Transporter","ABC","ABC Transporter",NA,NA,230,113,638,NA,NA,NA,"Sequence similarity to ABCG11 and ABCG12/CER5",NA,NA,NA,NA,NA
"AT1G56630",10.0419326287674,0.122126609636678,0.251576661373842,0.00100051393065446,0.0176769632784607,NA,"TAG Degradation","Triacylglycerol lipase (TAGL)","TAGL","Triacylglycerol lipase (TAGL)","3.1.1.3","84",111,127,20,0,0,"targetP, RC2","Sequence homology ONLY (to castor bean acid lipase BLAST score>100)",NA,NA,NA,NA,NA
"AT1G62790",513.464389051785,0.494479981291858,0.230792808186886,0.00276224842992836,0.0369189526484903,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 5",NA,"162",193,139,347,2.10999717,0.66539178,"targetP, RC1","Sequence similarity",NA,NA,NA,NA,NA
"AT1G64400",1197.90001121142,1.28908550807002,0.235444325852296,0.00000000238074560995101,0.000000417579329629451,"LACS3","Aliphatic Suberin Synthesis","Long-Chain Acyl-CoA Synthetase","LACS","Long-Chain Acyl-CoA Synthetase","6.2.1.3","95",124,143,271,1.40666478,3.72619395,"targetP, RC2","Sequence similarity and heterologous protein expression",NA,"mutant characterization","Shockey et al 2002;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12177484","Lü et al 2009;http://www.ncbi.nlm.nih.gov/pubmed/19392700",NA
"AT1G64400",1197.90001121142,1.28908550807002,0.235444325852296,0.00000000238074560995101,0.000000417579329629451,"LACS3","Cutin Synthesis","Long-Chain Acyl-CoA Synthetase","LACS","Long-Chain Acyl-CoA Synthetase","6.2.1.3","95",124,143,270,1.40666478,3.72619395,"targetP, RC2","Heterologous protein expression and sequence similarity",NA,NA,"Shockey et al 2002;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12177484",NA,NA
"AT1G64400",1197.90001121142,1.28908550807002,0.235444325852296,0.00000000238074560995101,0.000000417579329629451,"LACS3","Cuticular Wax Synthesis","Long-Chain Acyl-CoA Synthetase","LACS","Long-Chain Acyl-CoA Synthetase","6.2.1.3","95",124,143,272,1.40666478,3.72619395,"targetP, RC2","Sequence similarity and heterologous protein expression",NA,NA,"Shockey et al 2002;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12177484",NA,NA
"AT1G71697",678.207810482649,0.347260835777789,0.14770412350772,0.00343906128058441,0.0434459698833745,"ATCK1","TAG Synthesis","Choline Kinase","CK","Choline Kinase","2.7.1.32","44",54,168,309,1.70809294,2.12925368,"targetP, RC4","Sequence similarity to soybean CK1",NA,NA,"Monks et al 1996;http://www.ncbi.nlm.nih.gov/pubmed/8934624",NA,NA
"AT1G71697",678.207810482649,0.347260835777789,0.14770412350772,0.00343906128058441,0.0434459698833745,"AtCK1","Eukaryotic Phospholipid Synthesis","Choline Kinase","CK","Choline Kinase","2.7.1.32","44",54,168,310,1.70809294,2.12925368,"targetP, RC4","Homologous to choline kinase of soybean",NA,NA,"Monks et al 1996;http://www.ncbi.nlm.nih.gov/pubmed/8934624?dopt=Abstract",NA,NA
"AT1G71960",619.736801873508,0.716058185189552,0.134078613957595,0.00000000744899374700232,0.00000111298082497649,"AtWBC26;AtABCG25","Cuticular Wax Synthesis","ABC Transporter","ABC","ABC Transporter",NA,NA,230,169,652,NA,NA,NA,"Sequence similarity to ABCG11 and ABCG12/CER5",NA,NA,NA,NA,NA
"AT1G73480",1581.0811732682,0.551400895879772,0.263290196263759,0.00259713201173903,0.0353563444005304,NA,"TAG Degradation","Monoacylglycerol lipase (MAGL)","MAGL","Monoacylglycerol lipase (MAGL)","3.1.1.23","85",112,175,457,3.91856617,0.13307836,"targetP, RC3","Sequence homology ONLY (To human monoacylglycerol lipase GB NP_009214 BLAST score>100)",NA,NA,NA,NA,NA
"AT1G74030",932.81075959845,0.559109531827548,0.25718014460335,0.00214342159734921,0.0302869350635362,NA,"Glycolysis","enolase","ENO",NA,"4.2.1.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prabhakar et al 2009;http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6T36-4VM9K9G-3&_user=1111158&_rdoc=1&_fmt=&_orig=search&_sort=d&_docanchor=&view=c&_acct=C000051676&_version=1&_urlVersion=0&_userid=1111158&md5=50e448c24c46d54aecd62e4385e22d85",NA,NA
"AT1G79530",1398.18858975354,0.411176864011313,0.185904917994717,0.00342090704398225,0.0433750942899897,NA,"Glycolysis","NAD-Dependent Glyceraldehyde-3-Phosphate Dehydrogenase","GapCp-1",NA,"1.2.1.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Muñoz-Bertomeu  et al 2009;http://www.plantphysiol.org/cgi/content/full/151/2/541",NA,NA
"AT2G18370",231.656745317595,1.5399896352196,0.356137692775842,0.000000679506026641833,0.0000522141059519542,NA,"Cuticular Wax Synthesis","Lipid Transfer Protein","LTP","Lipid Transfer Protein type 1",NA,"162",193,213,172,0.60285633,0,"targetP, RC1","Sequence similarity",NA,NA,NA,NA,NA
