"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT1G01610",2383.9746699308,0.302214493913858,0.145322418922215,0.0013190106734639,0.0301457761983605,"AtGPAT4","Cutin Synthesis","Glycerol-3-Phosphate Acyltransferase","GPAT","Glycerol-3-Phosphate Acyltransferase (endomembrane predicted?)","2.3.1.15","20",26,5,501,5.32523094,1.46386191,"targetP, RC2","Heterologous expression, in planta overexpression and mutant characterization","gpat4,gpat8","acyl acceptor could be glycerol-3-phosphate or glycerol","Li et al 2007;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=17991776","Zheng et al 2003;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12897259",NA
"AT1G01610",2383.9746699308,0.302214493913858,0.145322418922215,0.0013190106734639,0.0301457761983605,"AtGPAT4","Aliphatic Suberin Synthesis","Glycerol-3-Phosphate Acyltransferase","GPAT","Glycerol-3-Phosphate Acyltransferase (endomembrane predicted?)","2.3.1.15","20",26,5,502,5.32523094,1.46386191,"targetP, RC2","Heterologous expression and mutant characterization (*)","gpat4,gpat8","acyl acceptor could be glycerol-3-phosphate or glycerol","Li et al 2007;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=17991776","Zheng et al 2003;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12897259",NA
"AT1G04220",127.927034058835,1.0288280868073,0.479363622442577,0.000073548176346534,0.00406043243700151,"KCS2 (DAISY)","Aliphatic Suberin Synthesis","Ketoacyl-CoA Synthase","KCS","Ketoacyl-CoA Synthase","2.3.1.120","147",177,13,323,1.90904506,0.79847013,"targetP, RC2","Mutant phenotype, and heterologous expression","daisy","Protein family of 21 members-Root but not seed suberin phenotype. Other family members may have redundant functions.","Franke et al 2009;http://www.ncbi.nlm.nih.gov/pubmed/18786002?ordinalpos=6&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum","Trenkamp et al 2004;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=15277688",NA
"AT1G04220",127.927034058835,1.0288280868073,0.479363622442577,0.000073548176346534,0.00406043243700151,"KCS2","Fatty Acid Elongation & Cuticular Wax Synthesis","Ketoacyl-CoA Synthase","KCS","Ketoacyl-CoA Synthase","2.3.1.119","147",177,13,324,1.90904506,0.79847013,"targetP, RC2","Mutant characterization; heterologous expression in yeast; complementation of yeast elo2 elo3 mutant","daisy","Double mutant of kcs2 kcs20 results in 15-20% reduction in cuticular wax. Protein family of 21 members-Root but not seed suberin phenotype. Other family members may have redundant functions.","Franke et al 2008;http://www3.interscience.wiley.com/journal/121404212/abstract","Lee et al 2009;http://www3.interscience.wiley.com/journal/122504706/abstract","Blacklock et al 2006;http://www.jbc.org/cgi/content/full/281/14/9018?view=long&pmid=16449229"
"AT1G15500",11067.3366650591,-0.249150687868414,0.0828341252102852,0.000229361674603822,0.00912936777847235,NA,"Plastid Transporters","ATP/ADP transporter","NTT2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G18360",513.446442118269,-0.252712005675427,0.107283675395053,0.00117415128196371,0.0279469042532348,NA,"TAG Degradation","Monoacylglycerol lipase (MAGL)","MAGL","Monoacylglycerol lipase (MAGL)","3.1.1.23","85",112,58,154,0.50238028,0.26615671,"targetP, RC4","Sequence homology ONLY (To human monoacylglycerol lipase GB NP_009214 BLAST score>100)",NA,NA,NA,NA,NA
"AT1G31770",676.749537610355,0.489608338978173,0.247693940487045,0.000438409534160846,0.0139080517143116,"AtWBC14;AtABCG14","Cuticular Wax Synthesis","ABC Transporter","ABC","ABC Transporter",NA,NA,230,80,629,NA,NA,NA,"Sequence similarity to ABCG11 and ABCG12/CER5",NA,NA,NA,NA,NA
"AT1G42970",31485.8218293937,-0.521275310176294,0.154274748856729,0.00000680212656365103,0.00063759942823342,NA,"Glycolysis","NADP-Dependent Glyceraldehyde-3-Phosphate Dehydrogenase","GapB",NA,"1.2.1.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Muñoz-Bertomeu  et al 2011;http://www.plantphysiol.org/cgi/content/full/151/2/543",NA,NA
"AT1G45201",693.77150082294,0.58594155569732,0.169106318639709,0.0000038203215157725,0.000412187481308347,NA,"TAG Degradation","Triacylglycerol lipase (TAGL)","TAGL","Triacylglycerol lipase (TAGL)","3.1.1.3","84",111,95,631,NA,NA,NA,"Sequence homology ONLY (to castor bean acid lipase BLAST score>100)",NA,NA,NA,NA,NA
"AT1G52760",1931.46904716174,0.275871505178083,0.144535952448715,0.00238781550828676,0.0457234402059775,NA,"TAG Degradation","Monoacylglycerol lipase (MAGL)","MAGL","Monoacylglycerol lipase (MAGL)","3.1.1.23","85",112,112,471,4.21999433,1.46386191,"targetP, RC4","Sequence homology ONLY (To human monoacylglycerol lipase GB NP_009214 BLAST score=90)",NA,NA,NA,NA,NA
"AT1G64670",721.715180017987,0.346621233549839,0.16962672727006,0.000955362274978664,0.0240026302064675,"BODYGUARD","Aliphatic Suberin Synthesis","Hydrolase-like Protein","Hydrolase ?","Hydrolase-like Protein (cell wall located)",NA,NA,228,146,333,2.00952111,2.79464546,"targetP,RC 1","Mutant characterization","bodyguard (bdg)","Function shown in cutin; proposed to be involved in cutin assembly. Belongs to the &alpha; , &beta;-hydrolase superfamily","Kurdyukov et al 2006;http://www.ncbi.nlm.nih.gov/pubmed/16415209?dopt=Abstract",NA,NA
"AT1G64670",721.715180017987,0.346621233549839,0.16962672727006,0.000955362274978664,0.0240026302064675,"BDG","Cutin Synthesis","Hydrolase-like Protein","Hydrolase ?","Hydrolase-like Protein",NA,NA,228,146,332,2.00952111,2.79464546,"targetP,RC 1","Mutant characterization","bodyguard (bdg)","Proposed to be involved in cutin assembly","Kurdyukov et al 2006;http://www.ncbi.nlm.nih.gov/pubmed/16415209?dopt=Abstract",NA,NA
"AT1G65260",7564.80385370153,-0.370878730398228,0.0804893463786008,0.000000136964808269282,0.00003097007446557,"VIPP1","Lipid Trafficking","Vesicle-Inducing Protein in Plastids","VIPP1","Vesicle-Inducing Protein in Plastids",NA,NA,241,148,646,NA,NA,NA,"Mutant analysis","hcf155",NA,"Kroll et al 2001;http://www.pnas.org/content/98/7/4238.abstract?ijkey=dff602d93f5a31c641d3fc9c95c4017462e5133a&keytype2=tf_ipsecsha","Westphal et al 2001;http://www.ncbi.nlm.nih.gov/pubmed/11274448?ordinalpos=10&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum","Aseeva et al 2004;http://www.ncbi.nlm.nih.gov/pubmed/15210715?ordinalpos=1&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DiscoveryPanel.Pubmed_Discovery_RA&linkpos=2&log$=relatedarticles&logdbfrom=pubmed"
"AT1G67090",174401.445990386,-0.340461982717041,0.143346176644025,0.000485563593849809,0.0149142401550256,NA,"Rubisco","ribulose bisphosphate carboxylase small chain 1BA","RBCS-1A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
