"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","protein_gene_abrev_isoform","gene_pathway","protein_family_common","protein_family_common_abrev","protein_family_isoform","ec_number","reaction_id","enzyme_id","locus_id","expression_id_eff","est_expression","pyro_expression","evidence_targeting","evidence_for_function","mutant_names","remarks","ref_1","ref_2","ref_3"
"AT1G01090",8664.2887995905,-1.03252413007706,0.0806796523326789,0.0000000000000000000000000000000000000638462014112282,0.00000000000000000000000000000000000350824578980278,"PDH (E1alpha)","Plastidial Fatty Acid Synthesis","Pyruvate Dehydrogenase &alpha; subunit, E1a component of Pyruvate Dehydrogenase Complex","&alpha;-PDH","Pyruvate Dehydrogenase &alpha; subunit, E1a component of Pyruvate Dehydrogenase Complex","nd,1.2.4.1","12 (overall),11",17,1,586,14.468552,14.7716974,"targetP, RC1","Sequence similarity to H. sapiens pyruvate dehydrogenase E1 alpha 1 precursor",NA,NA,"De Meirleir et al 1992;http://www.ncbi.nlm.nih.gov/pubmed/1551669","Johnston et al 1997;http://www.ncbi.nlm.nih.gov/pubmed/9393637?dopt=Abstract",NA
"AT1G01600",132.159202258786,1.26010738397075,0.342200676184253,0.0000568559611923296,0.000215538080775254,"CYP86A4","Cutin Synthesis","Fatty Acyl omega-Hydroxylase","FAH","Fatty Acyl omega-Hydroxylase (CYP86A)","1.14.13.*","199",279,4,363,2.31094928,0.53231342,"targetP, RC4","Heterologous protein expression and mutant characterization",NA,NA,NA,"Rupasinghe et al 2007;http://www.ncbi.nlm.nih.gov/pubmed/17427946?ordinalpos=4&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum",NA
"AT1G01610",2047.89004613011,-0.3762696714549,0.13011792289286,0.00328144044268421,0.00874560183071079,"AtGPAT4","Aliphatic Suberin Synthesis","Glycerol-3-Phosphate Acyltransferase","GPAT","Glycerol-3-Phosphate Acyltransferase (endomembrane predicted?)","2.3.1.15","20",26,5,502,5.32523094,1.46386191,"targetP, RC2","Heterologous expression and mutant characterization (*)","gpat4,gpat8","acyl acceptor could be glycerol-3-phosphate or glycerol","Li et al 2007;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=17991776","Zheng et al 2003;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12897259",NA
"AT1G01610",2047.89004613011,-0.3762696714549,0.13011792289286,0.00328144044268421,0.00874560183071079,"AtGPAT4","Cutin Synthesis","Glycerol-3-Phosphate Acyltransferase","GPAT","Glycerol-3-Phosphate Acyltransferase (endomembrane predicted?)","2.3.1.15","20",26,5,501,5.32523094,1.46386191,"targetP, RC2","Heterologous expression, in planta overexpression and mutant characterization","gpat4,gpat8","acyl acceptor could be glycerol-3-phosphate or glycerol","Li et al 2007;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=17991776","Zheng et al 2003;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12897259",NA
"AT1G01710",1789.91019524759,-0.374420892148865,0.0768675171171554,0.000000981339004816731,0.00000485651615573742,"AtACT2","b-Oxidation","Acyl-CoA Thioesterase","ACT","Acyl-CoA Thioesterase","3.1.2.2","166",205,6,773,NA,NA,NA,"Heterologous expression",NA,NA,"Tilton et al 2004;http://www.ncbi.nlm.nih.gov/pubmed/14660652?dopt=Abstract",NA,NA
"AT1G02390",48.6914215298168,1.4957655046361,0.502771183990297,0.000525958834082898,0.00166982780438023,"AtGPAT2","Cutin Synthesis","Glycerol-3-Phosphate Acyltransferase","GPAT","Glycerol-3-Phosphate Acyltransferase (mitochondrial?)","2.3.1.15","20",26,9,234,1.10523661,0.26615671,"targetP, RC2","Sequence similarity",NA,NA,"Zheng et al 2003;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12897259","Zheng et al 2003;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=12897259",NA
"AT1G02660",2714.35656801124,-2.30083492636,0.220866173603832,0.0000000000000000000000000210515885053546,0.00000000000000000000000058276179620836,NA,"TAG Degradation",NA,NA,"Lipid Acylhydrolase-like",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G04010",345.826318518435,-0.355768754734541,0.156341392630422,0.0198005038415297,0.0433301364898018,"PSAT1","Eukaryotic Phospholipid Synthesis",NA,NA,"Phospholipid : Acyl acceptor Acyltransferase",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AT1G04220",79.9808704144512,2.36400004189707,0.467158859034518,0.0000000394747663830781,0.000000234999943116036,"KCS2 (DAISY)","Aliphatic Suberin Synthesis","Ketoacyl-CoA Synthase","KCS","Ketoacyl-CoA Synthase","2.3.1.120","147",177,13,323,1.90904506,0.79847013,"targetP, RC2","Mutant phenotype, and heterologous expression","daisy","Protein family of 21 members-Root but not seed suberin phenotype. Other family members may have redundant functions.","Franke et al 2009;http://www.ncbi.nlm.nih.gov/pubmed/18786002?ordinalpos=6&itool=EntrezSystem2.PEntrez.Pubmed.Pubmed_ResultsPanel.Pubmed_DefaultReportPanel.Pubmed_RVDocSum","Trenkamp et al 2004;http://www.pubmedcentral.nih.gov/articlerender.fcgi?tool=pubmed&pubmedid=15277688",NA
"AT1G04220",79.9808704144512,2.36400004189707,0.467158859034518,0.0000000394747663830781,0.000000234999943116036,"KCS2","Fatty Acid Elongation & Cuticular Wax Synthesis","Ketoacyl-CoA Synthase","KCS","Ketoacyl-CoA Synthase","2.3.1.119","147",177,13,324,1.90904506,0.79847013,"targetP, RC2","Mutant characterization; heterologous expression in yeast; complementation of yeast elo2 elo3 mutant","daisy","Double mutant of kcs2 kcs20 results in 15-20% reduction in cuticular wax. Protein family of 21 members-Root but not seed suberin phenotype. Other family members may have redundant functions.","Franke et al 2008;http://www3.interscience.wiley.com/journal/121404212/abstract","Lee et al 2009;http://www3.interscience.wiley.com/journal/122504706/abstract","Blacklock et al 2006;http://www.jbc.org/cgi/content/full/281/14/9018?view=long&pmid=16449229"
