"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","transport_type","mineral_metal","remarks","references"
"AT1G15520",735.219829008067,4.44099577488052,0.732290987069198,0.0000000000751322513216634,0.0000000221777578444008,"PDR12","Heavy Metal Transporters","Lead","Lead resistance","Lee, M., Lee, K., Lee, J., Noh, E. W., & Lee, Y. (2005). Plant physiology, 138(2), 827-836."
"AT1G30220",269.380314367333,1.62654275775321,0.265131955784772,0.0000000000488548513479444,0.0000000147816459609624,"AtINT2","Heavy Metal Transporters","Arsenic","Arsenic accumulation in seeds","Duan, G. L., Hu, Y., Schneider, S., McDermott, J., Chen, J., Sauer, N., ... & Zhu, Y. G. (2015). Nature plants, 2(1), 1-6."
"AT1G80830",2117.94494082933,0.477844260620138,0.158419497620591,0.000301460936406603,0.00718195075366322,"AtNramp1","Micro Nutrient Transporters","Iron","Iron homeostasis","CURIE, C., ALONSO, J. M., JEAN, M. L., ECKER, J. R., & BRIAT, J. F. (2000). Biochemical Journal, 347(3), 749-755."
"AT1G80830",2117.94494082933,0.477844260620138,0.158419497620591,0.000301460936406603,0.00718195075366322,"NRAMP1","Micro Nutrient Transporters","Manganese",NA,"Cailliatte, R., Schikora, A., Briat, J. F., Mari, S., & Curie, C. (2010). The Plant Cell, 22(3), 904-917."
"AT2G19110",1728.41661010878,0.346161532454261,0.129040976272309,0.00142904903884348,0.0229073721756334,"AtHMA4","Heavy Metal Transporters","P- type ATPases- P1B subfamily, Heavy metal ATPases (HMA","Falls under Zn/Co/Cd/Pb pumps cluster; possible role in Cd resistance","Mills, R. F., Krijger, G. C., Baccarini, P. J., Hall, J. L., & Williams, L. E. (2003). The Plant Journal, 35(2), 164-176."
"AT3G45700",10.1829919651404,0.0946693166619732,0.227354673399267,0.00325888059098863,0.0418854837427897,"NPF2.4","Micro Nutrient Transporters","Chlorine","xylem loading of chloride","Li, B., Byrt, C., Qiu, J., Baumann, U., Hrmova, M., Evrard, A., ... & Henderson, S. W. (2016). Plant Physiology, 170(2), 1014-1029."
"AT3G45710",134.460212137391,1.09326152977593,0.43741747242769,0.000496804104235459,0.0104748635392154,"NPF2.5","Micro Nutrient Transporters","Chlorine","chlorine efflux from root","Li, B., Qiu, J., Jayakannan, M., Xu, B., Li, Y., Mayo, G. M., ... & Roy, S. J. (2017). Frontiers in plant science, 7, 2013."
"AT4G08620",99.6058908331143,3.86670662484145,0.93306721872957,0.00000615064944783589,0.000322942450943314,"SULTR1;1","Macro Nutrient Transporters","Sulfer/Sulphate","high affinity transporter","Takahashi, H., Watanabe‐Takahashi, A., Smith, F. W., Blake‐Kalff, M., Hawkesford, M. J., & Saito, K. (2000). The Plant Journal, 23(2), 171-182."
"AT4G19030",136.735201869588,2.92315547406429,0.688805096804528,0.00000134702377696716,0.00008932797403148,"NIP1;1","Heavy Metal Transporters","Arsenic","Arsenic transporters","Xu, W., Dai, W., Yan, H., Li, S., Shen, H., Chen, Y., ... & Ma, M. (2015). Molecular Plant, 8(5), 722-733."
"AT4G33520",72.1201378024438,0.746184575913661,0.312843360839834,0.000900635223923985,0.016398430518943,"AtPAA1/AtHMA6","Heavy Metal Transporters","P- type ATPases- P1B subfamily, Heavy metal ATPases (HMA","Heavy metal transport (no substrate specificity, Cu or Cd or others)","Tabata, K., Kashiwagi, S., Mori, H., Ueguchi, C., & Mizuno, T. (1997). Biochimica et Biophysica Acta (BBA)-Biomembranes, 1326(1), 1-6."
"AT5G01490",7.21760444966321,0.0960014830432938,0.22789260360835,0.00112790163178835,0.0193898146288615,"AtCAX4","Heavy Metal Transporters","P- type ATPases- P1B subfamily, Heavy metal ATPases (HMA","Cd, Zn, Mn trasnport","Korenkov, V., Hirschi, K., Crutchfield, J. D., & Wagner, G. J. (2007). L. Planta, 226(6), 1379-1387."
"AT5G43350",744.94227142128,2.85785477803477,0.550781902656504,0.00000000882121370821584,0.00000127093736790098,"AtPT1","Macro Nutrient Transporters","Phosphate/Phosphorus",NA,"Muchhal, U. S., Pardo, J. M., & Raghothama, K. G. (1996). Proceedings of the National Academy of Sciences, 93(19), 10519-10523."
"AT5G44790",5684.1870936537,0.303783967287249,0.097430443569254,0.000483363918907832,0.010290082372176,"AtRAN1/AtHMA7","Micro Nutrient Transporters","Copper",NA,"Hirayama, T., Kieber, J. J., Hirayama, N., Kogan, M., Guzman, P., Nourizadeh, S., ... & Ecker, J. R. (1999). Cell, 97(3), 383-393."
