"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","transport_type","mineral_metal","remarks","references"
"AT1G10970",400.702236950005,1.15791431515222,0.33123922605304,0.000000861697607836862,0.0000961723074473834,"ZIP4","Micro Nutrient Transporters","Zinc","Zinc uptake from soil and transport intracellularly","Grotz, N., Fox, T., Connolly, E., Park, W., Guerinot, M. L., & Eide, D. (1998). Proceedings of the National Academy of Sciences, 95(12), 7220-7224."
"AT1G30220",225.247481969748,0.386223158017915,0.226723026960863,0.00135253215672537,0.0315157641216566,"AtINT2","Heavy Metal Transporters","Arsenic","Arsenic accumulation in seeds","Duan, G. L., Hu, Y., Schneider, S., McDermott, J., Chen, J., Sauer, N., ... & Zhu, Y. G. (2015). Nature plants, 2(1), 1-6."
"AT1G47530",2100.64117395286,-0.22108233561358,0.0703054254000582,0.00015880938091038,0.0064585769549122,"DTX33","Micro Nutrient Transporters","Chlorine","chloride channel for turgor regulation","Zhang, H., Zhao, F. G., Tang, R. J., Yu, Y., Song, J., Wang, Y., ... & Luan, S. (2017). Proceedings of the National Academy of Sciences, 114(10), E2036-E2045."
"AT1G60960",757.851488123831,0.473022376213117,0.321742980807707,0.00104628509355969,0.0262145128734603,"AtIRT3","Micro Nutrient Transporters","Iron","Zinc and iron uptake","Lin, Y. F., Liang, H. M., Yang, S. Y., Boch, A., Clemens, S., Chen, C. C., ... & Yeh, K. C. (2009). New Phytologist, 182(2), 392-404."
"AT1G80830",1740.02060556361,0.332722273252512,0.166866635917781,0.00109933342907182,0.0271284001849971,"AtNramp1","Micro Nutrient Transporters","Iron","Iron homeostasis","CURIE, C., ALONSO, J. M., JEAN, M. L., ECKER, J. R., & BRIAT, J. F. (2000). Biochemical Journal, 347(3), 749-755."
"AT1G80830",1740.02060556361,0.332722273252512,0.166866635917781,0.00109933342907182,0.0271284001849971,"NRAMP1","Micro Nutrient Transporters","Manganese",NA,"Cailliatte, R., Schikora, A., Briat, J. F., Mari, S., & Curie, C. (2010). The Plant Cell, 22(3), 904-917."
"AT2G25680",138.426485083435,-0.399473830667857,0.282245615418079,0.00186259181059129,0.0402496049894882,"MOT1","Micro Nutrient Transporters","Molybdenum",NA,"Tomatsu, H., Takano, J., Takahashi, H., Watanabe-Takahashi, A., Shibagaki, N., & Fujiwara, T. (2007). Proceedings of the National Academy of Sciences, 104(47), 18807-18812."
"AT3G12750",288.480547696225,0.576921581497487,0.199250780190441,0.000039604858504604,0.00222273781601696,"ZIP1","Micro Nutrient Transporters","Zinc","Zinc uptake from soil and transport intracellularly","Grotz, N., Fox, T., Connolly, E., Park, W., Guerinot, M. L., & Eide, D. (1998). Proceedings of the National Academy of Sciences, 95(12), 7220-7224."
"AT4G10380",361.67844776045,0.500253618903768,0.209171316340241,0.00018759619725104,0.00735519381756923,"NIP5;1","Heavy Metal Transporters","Arsenic","Arsenic transporters","Xu, W., Dai, W., Yan, H., Li, S., Shen, H., Chen, Y., ... & Ma, M. (2015). Molecular Plant, 8(5), 722-733."
"AT4G21680",278.570181471751,1.25228455925642,0.507148919906055,0.0000166929069885009,0.00108936469094725,"NRT1.8","Heavy Metal Transporters","Cadmium","Remove nitrate from xylem vessels; mediates cadmium tolerance","Li, J. Y., Fu, Y. L., Pike, S. M., Bao, J., Tian, W., Zhang, Y., ... & Li, L. G. (2010). The Plant Cell, 22(5), 1633-1646."
"AT5G59030",1971.07067000082,-0.468800490685333,0.115223740127734,0.00000136862546598413,0.00013929487061309,"COPT1-5","Micro Nutrient Transporters","Copper","copper","Sancenón, V., Puig, S., Mira, H., Thiele, D. J., & Peñarrubia, L. (2003). Plant molecular biology, 51(4), 577-587."
