"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","gene_pathway","enzyme_name"
"AT1G03310",132.733259293313,1.22241936640559,0.375963198727124,0.000306373847204258,0.00119746998986919,"ISA2","Starch Synthesis","Isoamylase 2"
"AT1G10760",29554.3703578425,0.36507622853373,0.157800052090207,0.0185645198438519,0.0451794515704962,"GWD1","Starch Degradation","Glucan, water dikinase 1"
"AT1G27680",682.860390745403,0.493917921403569,0.119250687075995,0.0000274616087151872,0.000134259648680607,"APL2","Starch Synthesis","AGPase large subunit 2"
"AT1G32900",1136.84606050156,1.81576362441912,0.251428225154147,0.0000000000000835578060502281,0.00000000000144390803010337,"GBSS1","Starch Synthesis","Granule-bound starch synthase"
"AT1G61800",750.53743709572,5.76232302439256,0.698192773291939,0.00000000000000000849888824462259,0.00000000000000023724144704518,"GPT2","Sugar Transporter","Glc6P/Pi translocator 2 (GPT2)"
"AT1G69830",11419.6585819816,-0.345427758694545,0.147707759936406,0.016164271121934,0.0401032687006866,"AMY3","Starch Degradation","α-amylase 3"
"AT1G74910",63.7898002184497,-0.952761690829948,0.335519733612647,0.00173545524685143,0.00572302629401346,NA,"Starch Synthesis","ADP-glucose pyrophosphorylase family protein 1"
"AT1G76130",595.491976703052,1.18424894026025,0.163473314459876,0.000000000000139017386582758,0.00000000000234256570654333,"AMY2","Starch Degradation","α-amylase 2"
"AT2G04650",279.225857536238,0.528870189412445,0.160688253936698,0.000746201194223409,0.0026750902698158,NA,"Starch Synthesis","ADP-glucose pyrophosphorylase family protein 2"
"AT2G21590",57.9961773815839,3.84849440298221,0.509257654923363,0.00000000000000324513612928228,0.0000000000000673738375269604,"APL4","Starch Synthesis","AGPase large subunit 4"
"AT2G21590",43.4959739990373,0.781505966683703,0.3731148637676,0.0178649917596284,0.0437705888823531,"APL4","Starch Synthesis","AGPase large subunit 4"
"AT2G40840",7398.97952145072,1.23018709784097,0.158246503408574,0.00000000000000189442187932263,0.0000000000000405396841534448,"DPE2","Starch Degradation","Transglucosidase"
"AT2G45880",775.170016307778,-0.421167395888589,0.125789953564573,0.000678764756739393,0.00245588736938498,"BAM7","Starch Degradation","β-amylase 7"
"AT3G01180",1361.94922218913,0.323648038629791,0.110039594710799,0.00295821011302731,0.00916856532685536,"SS2","Starch Synthesis","Starch synthase 2"
"AT3G01510",779.206966881971,0.606540174960935,0.17973606656606,0.000513213934564632,0.00190614920341037,"LSF1","Starch Degradation","Like Sex Four 1"
"AT3G10940",593.786158391783,0.695106472501215,0.205060062421768,0.000416704181279458,0.00157841564696637,"LSF2","Starch Degradation","Like Sex Four 2"
"AT3G23640",267.605742139914,0.749158282230831,0.232898674981,0.000727383823639438,0.00261563771333847,"HGL1","Starch Degradation","Heteroglycan glucosidase"
"AT3G23920",4589.64125966262,0.653617190004998,0.0885463956798002,0.000000000000108841540262224,0.00000000000185743300052596,"BAM1","Starch Degradation","β-amylase 1"
"AT3G46970",14424.8634562628,0.9273141776986,0.155641885547864,0.0000000011007196909677,0.0000000110998210715393,"PHS2","Starch Degradation","α-glucan phosphorylase 2"
"AT3G52180",129.635562881736,0.732818987810664,0.253268478663932,0.00211001446361095,0.00680577399285629,"SEX4","Starch Degradation","SEX4"
"AT4G00490",1256.39195008833,0.60725114683548,0.155781675134918,0.0000685959298675311,0.000309305938578393,"BAM2","Starch Degradation","β-amylase 2"
"AT4G09020",6173.32904550427,0.892099949240112,0.116944193095293,0.00000000000000922995314851901,0.000000000000180706491543763,"ISA3","Starch Synthesis","Isoamylase 3"
"AT4G15210",35.0887104769515,2.26161364794766,0.56981139045596,0.00000746492211402813,0.0000405339764526733,"BAM5","Starch Degradation","β-amylase 5"
"AT4G17090",6101.58316786347,0.508109233321525,0.230008871074155,0.0185048606858343,0.0450601372966861,"BAM3","Starch Degradation","β-amylase 3"
"AT4G24450",2091.37318251653,1.27055371597158,0.141429320892696,0.0000000000000000000789916882655397,0.00000000000000000268145039283482,"GWD2","Starch Degradation","Glucan, water dikinase 2"
"AT4G25000",87.7984296456332,3.31933399546655,0.447096836895913,0.0000000000000121764415026231,0.000000000000235884222041416,"AMY1","Starch Degradation","α-amylase 1"
"AT4G29130",2655.90256429931,0.814587259545945,0.113771258333527,0.000000000000414522565270248,0.00000000000660084913114212,"GIN2, HXK1","Starch Degradation","Hexokinase 1"
"AT4G39210",1477.29408472292,2.72954701566588,0.209309122117532,0.00000000000000000000000000000000000000068009006663054,0.000000000000000000000000000000000000112323849786768,"APL3","Starch Synthesis","AGPase large subunit 3"
"AT5G03650",4018.33533391164,0.539354904008444,0.108619348372898,0.000000551415718653986,0.00000364194462730581,"SBE2","Starch Synthesis","branching enzymes 2"
"AT5G04360",2699.56374860264,-0.390934503568025,0.111952415002569,0.000410779736763046,0.00155849505488144,"LDA1","Starch Synthesis","Limit dextrinase"
"AT5G16150",846.975012228271,-0.849763220824206,0.21652383475448,0.0000415625400298106,0.000195626387261248,"GLT1","Starch Degradation","Glucose transporter"
"AT5G16150",846.975012228271,-0.849763220824206,0.21652383475448,0.0000415625400298106,0.000195626387261248,"pGlcT, GLT1","Sugar Transporter","Glc transporter (pGlcT, GLT1)"
