"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","gene_pathway","enzyme_name"
"AT1G10760",27552.4781759642,0.383808727402719,0.178958369685158,0.000788117242794854,0.0149048465623591,"GWD1","Starch Degradation","Glucan, water dikinase 1"
"AT2G36390",5378.01458932181,0.763265483857404,0.122750858951016,0.0000000000255103256861816,0.0000000106616878181631,"SBE3","Starch Synthesis","branching enzymes 3"
"AT3G01180",1223.69031385529,0.294767572343464,0.110283616086105,0.00028941422269697,0.00695833975084038,"SS2","Starch Synthesis","Starch synthase 2"
"AT3G23920",4001.60952202398,0.386837175326457,0.102151003701811,0.00000457232314398283,0.000257347116095285,"BAM1","Starch Degradation","β-amylase 1"
"AT3G29320",15971.238261314,0.440451833318451,0.165055688756023,0.000161387591699291,0.00443341654215637,"PHS1","Starch Degradation","α-glucan phosphorylase 1"
"AT3G46970",11982.0643144678,0.614261121187795,0.173209445785302,0.00000872338310061684,0.000436013776705895,"PHS2","Starch Degradation","α-glucan phosphorylase 2"
"AT4G09020",5204.5361018435,0.801211569464208,0.119284475690166,0.00000000000086826556750816,0.000000000682213621702511,"ISA3","Starch Synthesis","Isoamylase 3"
"AT4G17090",4914.55193609954,0.609540258255612,0.280342064273417,0.000300487138090154,0.00713128698836074,"BAM3","Starch Degradation","β-amylase 3"
"AT4G24450",1693.60218380541,0.661640595558029,0.161297115243714,0.00000117705384309905,0.0000850031935293922,"GWD2","Starch Degradation","Glucan, water dikinase 2"
"AT4G39210",1104.36929923018,0.566864210675527,0.228950402084151,0.000186728834669507,0.00490362900991061,"APL3","Starch Synthesis","AGPase large subunit 3"
"AT5G19220",5133.55975252438,-0.505199405137392,0.0882834159409862,0.000000000386928671829426,0.000000110151302909354,"APL1","Starch Synthesis","AGPase large subunit 1"
"AT5G26570",880.208784693978,0.336724325608843,0.183856271089203,0.00212384858348668,0.0315811943417326,"PWD, GWD3","Starch Degradation","Phosphoglucan, water dikinase"
"AT5G54800",1617.39765192424,0.270401679459542,0.13606579958146,0.00221182997710235,0.0325933805252975,"GPT1","Sugar Transporter","Glc6P/Pi translocator 1 (GPT1)"
"AT5G64860",3522.74001366725,0.294680072150115,0.144039169337614,0.001614375940551,0.0260140989337517,"DPE1","Starch Degradation","Glucanotransferase"
