"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene_name","gene_pathway","enzyme_name"
"AT1G61800",311.894709136979,-3.45850281795552,0.588697723298639,0.000000000184252606493785,0.0000000403381599216751,"GPT2","Sugar Transporter","Glc6P/Pi translocator 2 (GPT2)"
"AT2G40840",6923.50652352158,0.389754275839811,0.142369140353926,0.00100790112327182,0.0140899290436859,"DPE2","Starch Degradation","Transglucosidase"
"AT3G01510",763.430721812048,0.443337366634941,0.145130958667316,0.000298421919256442,0.00542826814552519,"LSF1","Starch Degradation","Like Sex Four 1"
"AT3G10940",578.407563817518,0.630727440752062,0.179116380974137,0.0000348341764328348,0.00102731911710437,"LSF2","Starch Degradation","Like Sex Four 2"
"AT3G23920",3455.07808011814,-0.378577482931971,0.114383601370247,0.000160525443424981,0.00341705154694035,"BAM1","Starch Degradation","β-amylase 1"
"AT3G29320",14687.6720033774,0.352664150315924,0.147184202780117,0.00299465695198804,0.0317342368344954,"PHS1","Starch Degradation","α-glucan phosphorylase 1"
"AT3G46970",9725.19865914934,0.486694855449959,0.173664529608563,0.000549558425013554,0.00872744338169193,"PHS2","Starch Degradation","α-glucan phosphorylase 2"
"AT3G52180",96.9193025895947,0.588302838154508,0.301533906702259,0.00323143276807492,0.0335740387598292,"SEX4","Starch Degradation","SEX4"
"AT4G17090",3825.11257865077,0.554042824881308,0.256899001093801,0.00229423883268154,0.02574587468071,"BAM3","Starch Degradation","β-amylase 3"
"AT5G17520",1014.14092449375,0.505582002846515,0.161828870299818,0.000188949401041426,0.00383847499050188,"MEX 1","Starch Degradation","Maltose transporter"
"AT5G17520",1014.14092449375,0.505582002846515,0.161828870299818,0.000188949401041426,0.00383847499050188,"MEX1","Sugar Transporter","Maltose transporter (MEX1)"
"AT5G17523",295.178887287657,0.48935435855164,0.206659166469939,0.00175291385054208,0.021202235793629,NA,"Starch Degradation","Similar to MEX1"
"AT5G48300",11766.702734554,0.450863552194694,0.138933433707954,0.000153182178099935,0.00330636180194577,"APS1","Starch Synthesis","AGPase small subunit 1"
"AT5G54800",1382.19953553539,0.61895808983942,0.13030749377548,0.000000188783780547794,0.0000136146420559762,"GPT1","Sugar Transporter","Glc6P/Pi translocator 1 (GPT1)"
