"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","abiotic_stress_related_genes","gene_name","remarks","references"
"AT1G01940",557.779652699559,0.595542042340847,0.12060325836583,0.000000600518966791363,0.00000393498758376894,"temperature_stress_(heat_stress)","CYP18-1","Heat stress induced cyclophilin involved in splicing of retained introns.Modulates phosphorylation status of PRP18 to modulate the splicosome activity under heat stress.","Jo, S. H., Park, H. J., Lee, A., Jung, H., Park, J. M., Kwon, S. Y., ... & Cho, H. S. (2022). The Arabidopsis cyclophilin CYP18-1 facilitates PRP18 dephosphorylation and the splicing of introns retained under heat stress. The Plant Cell, 34(6), 2383-2403."
"AT1G06180",365.716109435152,0.987332544333606,0.299698427550654,0.000383778402617508,0.00146598228961306,"radiation_stress_(uv-b)","MYB13","a novel positive regulator in UV-B-induced cotyledon expansion and stress acclimation.UV-B inducible and is predominantly expressed in the cotyledons.","Qian, C., Chen, Z., Liu, Q., Mao, W., Chen, Y., Tian, W., ... & Huang, X. (2020). Coordinated transcriptional regulation by the UV-B photoreceptor and multiple transcription factors for plant UV-B responses. Molecular plant, 13(5), 777-792."
"AT1G21910",617.87956829895,-0.81690081720612,0.159984961224286,0.000000171650589734378,0.00000123881721134629,"temperature_stress_(heat_stress)","DREB26","encodes a member of the DREB subfamily A-5 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 15 members in this subfamily including RAP2.1, RAP2.9 and RAP2.10.","Krishnaswamy, S., Verma, S., Rahman, M. H., & Kav, N. N. (2011). Functional characterization of four APETALA2-family genes (RAP2. 6, RAP2. 6L, DREB19 and DREB26) in Arabidopsis. Plant molecular biology, 75, 107-127."
"AT1G76010",8363.021798577,-0.529394228833844,0.118820826010226,0.00000613462809862439,0.0000339400242561858,"temperature_stress_(heat_stress)","ALBA1","Together with other ALBA proteins phase separates into stress granules and processing bodies under heat stress and directly binds to and recruits mRNAs to protect from degradation. Confers thermotolerance through stabilizing HSF messenger RNAs in cytoplasmic granules.","Ci, D., Liu, Y., Wang, L., Zhu, R., Chen, Y., Bai, G., ... & Qian, W. (2025). ALBA3 maintains male fertility under heat stress in plants. Journal of Integrative Plant Biology."
"AT1G77510",3019.12058891873,2.06651761677816,0.164100687380528,0.000000000000000000000000000000000000320186698195366,0.0000000000000000000000000000000000436487316349396,"excess_light_stress_(photoinhibithion)","PDIL1-2","Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response. This protein has been shown to be an attenuator of D1 synthesis, modulating photoinhibition in a light-regulated manner.","Lu, Y. (2016). Identification and roles of photosystem II assembly, stability, and repair factors in Arabidopsis. Frontiers in plant science, 7, 168."
"AT2G04030",1164.93418378148,0.994316979093487,0.220522835446247,0.0000025825611317076,0.0000152474077814955,"temperature_stress_(heat_stress)","HSP90-5","Encodes a chloroplast-targeted 90-kDa heat shock protein located in the stroma involved in red-light mediated deetiolation response and crucial for protein import into the chloroplast stroma. Mutants are resistant to chlorate, have elongated hypocotyls in light, and affect the expression of NR2, CAB, and RBCS but NOT NR1 and NiR.","Danilova, M. N., Kudryakova, N. V., Doroshenko, A. S., Zabrodin, D. A., Vinogradov, N. S., & Kuznetsov, V. V. (2016). Molecular and physiological responses of Arabidopsis thaliana plants deficient in the genes responsible for ABA and cytokinin reception and metabolism to heat shock. Russian Journal of Plant Physiology, 63, 308-318."
"AT2G26150",15.1296339199579,6.78777479737,2.38950463203226,0.000000697195139521255,0.00000451905226912331,"temperature_stress_(heat_stress)","HSFA2","member of Heat Stress Transcription Factor (Hsf) family. Involved in response to misfolded protein accumulation in the cytosol. Regulated by alternative splicing and non-sense-mediated decay.","Evrard, A., Kumar, M., Lecourieux, D., Lucks, J., von Koskull-Döring, P., & Hirt, H. (2013). Regulation of the heat stress response in Arabidopsis by MPK6-targeted phosphorylation of the heat stress factor HsfA2. PeerJ, 1, e59."
"AT2G26300",3573.66437698102,-0.390433966726135,0.0868206219618876,0.00000574678621686032,0.0000319459671826714,"oxidative_stress","GP ALPHA 1","Encodes an alpha subunit of a heterotrimeric GTP-binding protein. The active GTP-bound form of GPA1 binds to the GTG1 and GTG2 abscisic acid (ABA) receptors and appears to affect their GTPase and GTP-binding activity, and hence, ABA binding abilities. GPA1 is a positive regulator in ABA-mediated inhibition of stomatal opening. Plants with recessive mutant alleles have complex phenotypes including: reduced brassinolide response, reduced cell divisions, round leaves, short hypocotyls. It is likely to be involved in the signaling events that trigger unfolded protein response-associated cell death. GPA1 is also involved in sugar signaling. The mRNA is cell-to-cell mobile.","Joo, J. H., Wang, S., Chen, J. G., Jones, A. M., & Fedoroff, N. V. (2005). Different signaling and cell death roles of heterotrimeric G protein α and β subunits in the Arabidopsis oxidative stress response to ozone. The Plant Cell, 17(3), 957-970."
"AT2G30950",23970.7781229601,-0.323346276505522,0.136578811999127,0.0159397523888919,0.0396187266351341,"excess_light_stress_(photoinhibithion)","VAR2","Metalloprotease that functions in thylakoid membrane biogenesis. Involved in the repair of PSII following damaged incurred during photoinhibition. Forms a complex with VAR1. Mutants show a variegated phenotype, which decreases during development. Transcript and protein levels increase with light intensity. In plsp1-1 mutant plastids, the nonmature form of the protein localizes in the membrane.","Rosso, D., Bode, R., Li, W., Krol, M., Saccon, D., Wang, S., ... & Huner, N. P. (2009). Photosynthetic redox imbalance governs leaf sectoring in the Arabidopsis thaliana variegation mutants immutans, spotty, var1, and var2. The Plant Cell, 21(11), 3473-3492."
"AT2G37040",3246.39153173687,2.50594630365358,0.259435064902758,0.0000000000000000000000467332709830505,0.00000000000000000000210136601549441,"radiation_stress_(uv-b)","PAL1","Encodes PAL1, a phenylalanine ammonia-lyase. Arabidopsis has four PALs: AT2G37040 (PAL1), AT3G53260 (PAL2), AT5G04230 (PAL3) and AT3G10340 (PAL4).","Zhang, X., Gou, M., Guo, C., Yang, H., & Liu, C. J. (2015). Down-regulation of Kelch domain-containing F-box protein in Arabidopsis enhances the production of (poly) phenols and tolerance to ultraviolet radiation. Plant Physiology, 167(2), 337-350."
