"GeneID","baseMean","log2FoldChange","lfcSE","pvalue","padj","abiotic_stress_related_genes","gene_name","remarks","references"
"AT1G01940",559.247801191913,0.829515928295131,0.175780278959536,0.00000122757194347766,0.00000599153595564423,"temperature_stress_(heat_stress)","CYP18-1","Heat stress induced cyclophilin involved in splicing of retained introns.Modulates phosphorylation status of PRP18 to modulate the splicosome activity under heat stress.","Jo, S. H., Park, H. J., Lee, A., Jung, H., Park, J. M., Kwon, S. Y., ... & Cho, H. S. (2022). The Arabidopsis cyclophilin CYP18-1 facilitates PRP18 dephosphorylation and the splicing of introns retained under heat stress. The Plant Cell, 34(6), 2383-2403."
"AT1G06460",8650.87072875415,-0.540905407623008,0.148475053191305,0.000195407502096871,0.000674254839443234,"temperature_stress_(heat_stress)","ACD32.1","encodes an alpha-crystallin domain containing protein with homology to small heat shock proteins.","Chandler, J. W., & Melzer, S. (2004). An α‐crystallin gene, ACD31. 2 from Arabidopsis is negatively regulated by FPF1 overexpression, floral induction, gibberellins, and long days. Journal of experimental botany, 55(401), 1433-1435."
"AT1G08830",1092.66509592288,0.781595618382307,0.248611554561037,0.000868813573980466,0.00263459003427188,"ozone_stress","CSD1","Encodes a cytosolic copper/zinc superoxide dismutase CSD1 that can detoxify superoxide radicals. Its expression is affected by miR398-directed mRNA cleavage. Regulated by biotic and abiotic stress. Activation of CSD1 in the cytoplasm involves both a CCS-dependent and -independent pathway.","Remans, T., Opdenakker, K., Guisez, Y., Carleer, R., Schat, H., Vangronsveld, J., & Cuypers, A. (2012). Exposure of Arabidopsis thaliana to excess Zn reveals a Zn-specific oxidative stress signature. Environmental and Experimental Botany, 84, 61-71."
"AT1G16590",225.887989042971,-0.323114498154822,0.142180064843646,0.0205021911001117,0.0446629281949828,"radiation_stress_(uv-b)","REV7","putative translesion synthesis polymerase zeta subunit, homologous to Y-family DNA polymerases, contains BRCT domain. Mutants are sensitive to UV-B radiation. Gene is involved in damage-tolerance mechanisms through translesion synthesis(TLS).","Takahashi, S., Sakamoto, A., Sato, S., Kato, T., Tabata, S., & Tanaka, A. (2005). Roles of Arabidopsis AtREV1 and AtREV7 in translesion synthesis. Plant Physiology, 138(2), 870-881."
"AT1G77510",3010.98496967565,2.44343584160475,0.154390372349706,0.00000000000000000000000000000000000000000000000000000000209167576577304,0.000000000000000000000000000000000000000000000000000000320026392163275,"excess_light_stress_(photoinhibithion)","PDIL1-2","Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily. Transcript levels for this gene are up-regulated in response to three different chemical inducers of ER stress (dithiothreitol, beta-mercaptoethanol, and tunicamycin). AtIRE1-2 does not appear to be required for this response, but the atbzip60 mutant has a diminished response. This protein has been shown to be an attenuator of D1 synthesis, modulating photoinhibition in a light-regulated manner.","Lu, Y. (2016). Identification and roles of photosystem II assembly, stability, and repair factors in Arabidopsis. Frontiers in plant science, 7, 168."
"AT2G04030",1148.73070025689,1.76970637988358,0.16183647859046,0.000000000000000000000000000111337467955168,0.00000000000000000000000000353389272512112,"temperature_stress_(heat_stress)","HSP90-5","Encodes a chloroplast-targeted 90-kDa heat shock protein located in the stroma involved in red-light mediated deetiolation response and crucial for protein import into the chloroplast stroma. Mutants are resistant to chlorate, have elongated hypocotyls in light, and affect the expression of NR2, CAB, and RBCS but NOT NR1 and NiR.","Danilova, M. N., Kudryakova, N. V., Doroshenko, A. S., Zabrodin, D. A., Vinogradov, N. S., & Kuznetsov, V. V. (2016). Molecular and physiological responses of Arabidopsis thaliana plants deficient in the genes responsible for ABA and cytokinin reception and metabolism to heat shock. Russian Journal of Plant Physiology, 63, 308-318."
"AT2G05590",11.4575500920545,-1.53438189089931,0.645325252294873,0.00269926981972313,0.0073266018646394,"oxidative_stress","OXR2","TLDc domain protein that confers increased tolerance to oxidative stress.","Colombatti, F., Mencia, R., Garcia, L., Mansilla, N., Alemano, S., Andrade, A. M., ... & Welchen, E. (2019). The mitochondrial oxidation resistance protein AtOXR2 increases plant biomass and tolerance to oxidative stress. Journal of Experimental Botany, 70(12), 3177-3195."
"AT2G26150",84.3617723782159,6.8398103442573,0.957047528796764,0.000000000000108835985226132,0.00000000000118033457492059,"temperature_stress_(heat_stress)","HSFA2","member of Heat Stress Transcription Factor (Hsf) family. Involved in response to misfolded protein accumulation in the cytosol. Regulated by alternative splicing and non-sense-mediated decay.","Evrard, A., Kumar, M., Lecourieux, D., Lucks, J., von Koskull-Döring, P., & Hirt, H. (2013). Regulation of the heat stress response in Arabidopsis by MPK6-targeted phosphorylation of the heat stress factor HsfA2. PeerJ, 1, e59."
"AT2G30950",32158.656582388,-0.264323856459044,0.112073953163985,0.016950557102823,0.0378388681228577,"excess_light_stress_(photoinhibithion)","VAR2","Metalloprotease that functions in thylakoid membrane biogenesis. Involved in the repair of PSII following damaged incurred during photoinhibition. Forms a complex with VAR1. Mutants show a variegated phenotype, which decreases during development. Transcript and protein levels increase with light intensity. In plsp1-1 mutant plastids, the nonmature form of the protein localizes in the membrane.","Rosso, D., Bode, R., Li, W., Krol, M., Saccon, D., Wang, S., ... & Huner, N. P. (2009). Photosynthetic redox imbalance governs leaf sectoring in the Arabidopsis thaliana variegation mutants immutans, spotty, var1, and var2. The Plant Cell, 21(11), 3473-3492."
"AT2G37040",2808.03424417212,2.45254064881879,0.143836227808557,0.00000000000000000000000000000000000000000000000000000000000000000310824290286781,0.000000000000000000000000000000000000000000000000000000000000000645680604968906,"radiation_stress_(uv-b)","PAL1","Encodes PAL1, a phenylalanine ammonia-lyase. Arabidopsis has four PALs: AT2G37040 (PAL1), AT3G53260 (PAL2), AT5G04230 (PAL3) and AT3G10340 (PAL4).","Zhang, X., Gou, M., Guo, C., Yang, H., & Liu, C. J. (2015). Down-regulation of Kelch domain-containing F-box protein in Arabidopsis enhances the production of (poly) phenols and tolerance to ultraviolet radiation. Plant Physiology, 167(2), 337-350."
