WT_20_vs_0,WT_60_vs_0,WT_80_vs_0,WT_40_vs_0|WT_60_vs_0,WT_60_vs_0|WT_80_vs_0,WT_20_vs_0|WT_40_vs_0|WT_60_vs_0,WT_20_vs_0|WT_60_vs_0|WT_80_vs_0,WT_40_vs_0|WT_60_vs_0|WT_80_vs_0,WT_20_vs_0|WT_40_vs_0|WT_60_vs_0|WT_80_vs_0
AT3G46460,AT2G35510,AT1G07890,AT1G07430,AT1G06390,AT1G01470,AT3G51860,AT1G02260,AT2G42540
AT5G59820,AT5G03740,,AT1G12110,AT1G69410,,,AT1G78830,AT4G33730
,,,,AT2G16700,,,AT2G38170,AT5G06370
,,,,AT3G14320,,,AT3G10500,AT5G24270
,,,,AT4G34220,,,AT3G25910,
,,,,AT4G34890,,,AT3G48590,
,,,,AT5G05860,,,AT4G16830,
,,,,AT5G44070,,,AT4G23450,
,,,,AT5G57630,,,AT4G30120,
,,,,,,,AT5G28300,
,,,,,,,AT5G57710,
