"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015979","photosynthesis","55/756","229/21384",0.240174672489083,6.7935121646912,16.8740683486503,0.00000000000000000000000000000281229867019383,0.00000000000000000000000000474716015528718,0.00000000000000000000000000423324957723913,"AT1G03600/AT1G06680/AT1G16720/AT1G20020/AT1G22700/AT1G29910/AT1G29920/AT1G32060/AT1G34000/AT1G42970/AT1G43670/AT1G50250/AT1G54780/AT1G55480/AT1G55670/AT1G61520/AT1G64150/AT1G67740/AT1G75690/AT1G76570/AT1G79040/AT2G05070/AT2G05100/AT2G05620/AT2G21170/AT2G30570/AT2G30950/AT2G34420/AT2G39470/AT2G40100/AT2G46820/AT2G47940/AT3G01500/AT3G08940/AT3G15850/AT3G26650/AT3G27690/AT3G47470/AT3G50820/AT3G54890/AT3G55800/AT4G01050/AT4G01800/AT4G05180/AT4G10340/AT4G26160/AT4G30950/AT4G35250/AT5G35100/AT5G52100/AT5G54270/AT5G64040/AT5G66190/AT5G66570/ATCG00300",55
"GO:0019684","photosynthesis, light reaction","44/756","153/21384",0.287581699346405,8.1344537815126,16.9546126987415,0.000000000000000000000000000551914811992744,0.000000000000000000000000465816101321876,0.000000000000000000000000415388516394539,"AT1G03600/AT1G06680/AT1G16720/AT1G22700/AT1G29910/AT1G29920/AT1G34000/AT1G50250/AT1G54780/AT1G55480/AT1G55670/AT1G61520/AT1G64150/AT1G67740/AT1G75690/AT1G76570/AT1G79040/AT2G05070/AT2G05100/AT2G05620/AT2G30570/AT2G30950/AT2G34420/AT2G40100/AT2G46820/AT2G47940/AT3G08940/AT3G15850/AT3G27690/AT3G47470/AT3G50820/AT3G54890/AT4G01050/AT4G05180/AT4G10340/AT4G30950/AT4G35250/AT5G35100/AT5G52100/AT5G54270/AT5G64040/AT5G66190/AT5G66570/ATCG00300",44
"GO:0006091","generation of precursor metabolites and energy","61/756","417/21384",0.146282973621103,4.1377183967112,12.3874096040191,0.00000000000000000000285809661737091,0.00000000000000000160815569670736,0.00000000000000000143406251327733,"AT1G03600/AT1G06680/AT1G16720/AT1G20020/AT1G22700/AT1G29910/AT1G29920/AT1G34000/AT1G50250/AT1G50460/AT1G54780/AT1G55480/AT1G55670/AT1G61520/AT1G64150/AT1G67740/AT1G75690/AT1G76570/AT1G79040/AT2G05070/AT2G05100/AT2G05620/AT2G21170/AT2G21330/AT2G30570/AT2G30950/AT2G34420/AT2G40100/AT2G43400/AT2G46820/AT2G47940/AT3G08940/AT3G10020/AT3G13970/AT3G15850/AT3G27690/AT3G45300/AT3G47470/AT3G50820/AT3G54890/AT3G58750/AT4G01050/AT4G05180/AT4G10340/AT4G26530/AT4G30950/AT4G35250/AT5G11770/AT5G19220/AT5G35100/AT5G48300/AT5G52100/AT5G54270/AT5G58330/AT5G64040/AT5G66190/AT5G66570/ATCG00300/ATCG00890/ATCG01250/ATMG00580",61
"GO:0009765","photosynthesis, light harvesting","21/756","43/21384",0.488372093023256,13.8139534883721,16.1018821059435,0.000000000000000000126674959049273,0.0000000000000000534568327187931,0.0000000000000000476697872211737,"AT1G03600/AT1G29910/AT1G29920/AT1G50250/AT1G54780/AT1G55480/AT1G61520/AT1G75690/AT1G76570/AT2G05070/AT2G05100/AT2G30950/AT2G34420/AT2G40100/AT2G47940/AT3G08940/AT3G27690/AT3G47470/AT3G54890/AT4G10340/AT5G54270",21
"GO:0009768","photosynthesis, light harvesting in photosystem I","14/756","23/21384",0.608695652173913,17.2173913043478,14.8970672444963,0.00000000000000257592177561704,0.000000000000869631191448311,0.000000000000775488029291023,"AT1G29910/AT1G29920/AT1G61520/AT1G76570/AT2G05070/AT2G05100/AT2G34420/AT2G40100/AT3G08940/AT3G27690/AT3G47470/AT3G54890/AT4G10340/AT5G54270",14
"GO:0009642","response to light intensity","30/756","164/21384",0.182926829268293,5.17421602787456,10.2728467630027,0.000000000000113383366947063,0.0000000000318985205677737,0.0000000000284453008305789,"AT1G03600/AT1G09570/AT1G21400/AT1G34000/AT1G55480/AT1G61520/AT1G67740/AT2G05070/AT2G05100/AT2G05620/AT2G30950/AT2G43400/AT3G06850/AT3G13450/AT3G15850/AT3G27690/AT3G47470/AT3G48390/AT3G50820/AT3G54890/AT4G01800/AT4G24230/AT4G25100/AT4G28610/AT4G30950/AT4G32770/AT5G16400/AT5G54270/AT5G64940/AT5G66570",30
"GO:0007623","circadian rhythm","28/756","156/21384",0.17948717948718,5.07692307692308,9.78378569611328,0.00000000000122061639198756,0.000000000257550058709374,0.000000000229668610597659,"AT1G09340/AT1G10470/AT1G18330/AT1G22770/AT1G68050/AT2G16365/AT2G46790/AT2G46830/AT2G47700/AT3G06080/AT3G12320/AT3G19720/AT3G26640/AT3G26740/AT3G51550/AT3G54500/AT3G57040/AT3G63140/AT4G25100/AT4G26150/AT4G28610/AT4G37930/AT5G02810/AT5G08330/AT5G24470/AT5G58140/AT5G64940/AT5G67380",28
"GO:0048511","rhythmic process","28/756","156/21384",0.17948717948718,5.07692307692308,9.78378569611328,0.00000000000122061639198756,0.000000000257550058709374,0.000000000229668610597659,"AT1G09340/AT1G10470/AT1G18330/AT1G22770/AT1G68050/AT2G16365/AT2G46790/AT2G46830/AT2G47700/AT3G06080/AT3G12320/AT3G19720/AT3G26640/AT3G26740/AT3G51550/AT3G54500/AT3G57040/AT3G63140/AT4G25100/AT4G26150/AT4G28610/AT4G37930/AT5G02810/AT5G08330/AT5G24470/AT5G58140/AT5G64940/AT5G67380",28
"GO:0009644","response to high light intensity","18/756","68/21384",0.264705882352941,7.48739495798319,10.2574307555226,0.0000000000147874214446024,0.00000000277346304427654,0.00000000247321785564695,"AT1G55480/AT1G61520/AT1G67740/AT2G05070/AT2G05100/AT2G05620/AT2G30950/AT3G15850/AT3G27690/AT3G47470/AT3G50820/AT3G54890/AT4G28610/AT4G30950/AT4G32770/AT5G54270/AT5G64940/AT5G66570",18
"GO:0009063","amino acid catabolic process","19/756","94/21384",0.202127659574468,5.71732522796353,8.77482713171297,0.000000000628000529909896,0.00000010600648944879,0.0000000945306060811738,"AT1G03090/AT1G06570/AT1G12050/AT1G21400/AT1G21540/AT1G23310/AT1G32470/AT1G55510/AT1G70580/AT2G20860/AT2G26080/AT2G43400/AT3G13450/AT3G45300/AT3G53260/AT4G34030/AT4G37930/AT4G39660/AT5G54960",19
